"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
54,"Херсонська","місцеве","Джерело Шилової балки","пам’ятка природи","гідрологічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","Весесівська сільська рада","Шилова балка, 300 м на схід від посту ДАІ, на території Веселівської сільської ради Бериславського району"
55,"Херсонська","місцеве","Козацьке джерело","пам’ятка природи","гідрологічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","Переоформляється охоронне зобов’язання","автошлях біля с. Веселе, на землях Козацької сільської ради Бериславського району"
56,"Херсонська","місцеве","Федорівська печера","пам’ятка природи","геологічна",0.5,"Рішення облвиконкому від 19.08.83 р. №441/16","Федорівська сільська рада Білозерського району","правий берег р. Інгулець біля с. Федорівка"
57,"Херсонська","місцеве","Ботанічний сад Херсонського державного університету","парк-пам’ятка садово-паркового мистецтва",,12.34,"Рішення облвиконкому від 22.04.64 р. № 238перезатверджено від 19.08.83 р. 144/16","Херсонський державний університет","м. Херсон, Миколаївське шосе, 3"
58,"Херсонська","місцеве","Парк Херсонського обласного ліцею","парк-пам’ятка садово-паркового мистецтва",,8,"Рішення облвиконкому від 22.04.64 р. № 238 перезатверджено від 19.08.83 р. 144/16","КП ХерсонкомунсервісХерсонська міська рада","м. Херсон, вул. Полтавська, 89"
59,"Херсонська","місцеве","Дендропарк Каховського лісгоспзагу","парк-пам’ятка садово-паркового мистецтва",,15,"Рішення облвиконкому від 22.04.64 р. № 238 перезатверджено від 19.08.83 р. 144/16","ДП Каховське ЛГ(переоформляється охоронне зобов’язання)","м. Каховка"
60,"Херсонська","місцеве","Парк санаторію Гопри","парк-пам’ятка садово-паркового мистецтва",,18,"Рішення облвиконкому від 22.04.64 р. № 238перезатверджено від 19.08.83 р. 144/16","санаторій Гопри","м. Гола Пристань"
61,"Херсонська","місцеве","Парк Скадовського будинку відпочинку","парк-пам’ятка садово-паркового мистецтва",,12,"Рішення облвиконкому від 22.04.64 р. № 238 перезатверджено від 19.08.83 р. 144/16","Скадовський будинок відпочинку","м. Скадовськ"
62,"Херсонська","місцеве","Парк КСП Південний","парк-пам’ятка садово-паркового мистецтва",,14,"Рішення облвиконкому від 22.04.64 р. № 238перезатверджено від 19.08.83 р. 144/16","Садівська сільська рада","с. Садове Голопристанського району"
63,"Херсонська","місцеве","Парк КСП Парижська комуна","парк-пам’ятка садово-паркового мистецтва",,62,"Рішення облвиконкому від 22.04.64 р. № 238перезатверджено від 19.08.83 р. 144/16","охоронне зобов’язання переоформляється","с. Роздольне Каланчацькогорайону"
64,"Херсонська","місцеве","Дендропарк Херсонського державного аграрного університету","парк-пам’ятка садово-паркового мистецтва",,2.4,"Рішення облвиконкому від 19.08.83 р. №441/16","Херсонський державний аграрний університет","м. Херсон, вул. Р.Люксембург, 23"
65,"Херсонська","місцеве","Дендропарк Інститут землеробства Південного регіону","парк-пам’ятка садово-паркового мистецтва",,5.6,"Рішення облвиконкому від 22.04.64 р. № 238перезатверджено від 19.08.83 р. 144/16","Українська академія аграрних наук","м. Херсон, Бериславське шосе,с. Наддніпрянське"
66,"Херсонська","місцеве","Дендропарк Нижньодніпрвської НДС","парк-пам’ятка садово-паркового мистецтва",,3,"Рішення облвиконкому від 22.04.64 р. № 238перезатверджено від 19.08.83 р. 144/16","Державне підприємство Степовий ім. В.М. Виноградова філіал УкрНДІЛГА","м. Цюрупинськ,вул. Комунарів, 56(кв. 13 вид.1, кв. 12 вид. 6, кв. 10 вид 16 центральна садиба Дослідного лісництва Державного підприємства Степовий ім. В.М. Виноградова філіал УкрНДІЛГА)"
67,"Херсонська","місцеве","Парк КСП ім. Леніна","парк-пам’ятка садово-паркового мистецтва",,4,"Рішення облвиконкому від 19.08.83 р. №441/16","Чулаківська сільська рада охоронне зобов’язання переоформляється","с. Чулаківка Голопристанського району"
68,"Херсонська","місцеве","Парк с. Хрещенівка","парк-пам’ятка садово-паркового мистецтва",,8,"Рішення облвиконкому від 22.04.64 р. № 238перезатверджено від 19.08.83 р. 144/16","Хрещенівська сільська рада охоронне зобов’язання переоформляється","с. Хрещенівка Нововоронцовського району"
69,"Херсонська","місцеве","Дендропарк Ботанічний","парк-пам’ятка садово-паркового мистецтва",,9,"Рішення Херсонської обласної ради ІІІ сесії п’ятого скликаннявід 05.07.06 р. №44","Державне підприємство дослідне господарство Новокаховське Нікітського ботанічного саду УААН Національного наукового центру","м. Нова Каховка, сел. Плодове, вул. Садова, 1"
70,"Херсонська","місцеве","Агайманське","заповідне урочище",,25,"Рішення облвиконкому від 19.08.83 р. №441/16","Фрунзівська сільська рада","с. Фрунзе., 1 км на південь, Іванівського району"
71,"Херсонська","місцеве","Архангельський ліс","заповідне урочище",,30,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Великоолександрівське ЛМГ","біля с. Архангельське Високопільського районукв. 18 вид. 2-9, 11-16, 30-32 ДП Великоолександрівське ЛМГ"
72,"Херсонська","місцеве","Малокаховський бір","заповідне урочище",,177,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Каховське ЛГ","кв. 6-7 Новокаховського лісництва ДП Каховське ЛГ с. Мала Каховка"
73,"Херсонська","місцеве","Новодмитрівський ліс","заповідне урочище",,23,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Великоолександрівське ЛМГ","кв. 6 ДП Великоолександрівське ЛМГ с. Новодмитрівка, Великоолександрівськогорайону"
74,"Херсонська","місцеве","Недогірський ліс","заповідне урочище",,216,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Великоолександрівське ЛМГ","кв. 45-49, 51-55, 57 ДП Великоолександрівське ЛМГ смт Великоолександрівка, південно-західна околиця"
75,"Херсонська","місцеве","Летючі піски","заповідне урочище",,110,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Великоолександрівське ЛМГ","кв. 22 вид. 1-11,кв. 23 вид. 1-12,кв. 25 вид. 1-20,кв. 26 вид. 1-11,ДП Великоолександрівське ЛМГ смт Великоолександрівка, північно околиця"
76,"Херсонська","місцеве","Цюрупинський сосновий бір","заповідне урочище",,290,"Рішення облвиконкому від 19.08.83 р. №441/16","Державне підприємство Степовий ім. В.М. Виноградова філіал УкрНДІЛГА","м. Цюрупинськ, південна-східна околицякв. 10, 11, 13-16, 12 вид. 8-15,18 вид 6, 6.1, 7-9, 10.1, Дослідного лісництва Державного підприємства Степовий ім. В.М. Виноградова філіал УкрНДІЛГА Цюрупинський район"
77,"Херсонська","місцеве","Голопристанський акацієвий ліс","заповідне урочище",,42,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Голопристанське ЛМГ","зелена зона м. Гола Пристань, кв. 2 вид. 24кв. 4 вид 15 Голопристанське лісництво"
78,"Херсонська","місцеве","Старозбур’ївський акацієвий ліс","заповідне урочище",,14,"Рішення облвиконкому від 19.08.83 р. №441/16","Старозбур’ївськашкола-інтернат","с. Стара Збур’ївка, південно-східна околиця"
79,"Херсонська","місцеве","Стояни","заповідне урочище",,15,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Великоолександрівське ЛМГ","кв. 82 вид 2, 3, 7, кв. 87 вид. 6, 8 Гаврилівське лісництва ДП Великоолександрівське ЛМГ с. Дудчани, Нововоронцовський район"
