"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
68,"Черкаська","місцеве","Берестово","заказник","ботанічний",2,"Ріш. ОВК від 25.05.90 р. № 95","ДП Чигиринське ЛГ","Чигиринський район, кв. 92 вид. 1 Чигиринського л-ва"
69,"Черкаська","місцеве","Білосніжний","заказник","ботанічний",1.5,"Ріш. Обл. ради від 08.04.00 р. № 15-4","ДП Чигиринське ЛГ","Чигиринський район, кв.17, вид. 2, 11 Креселецького лісництва, Кам_янський ДЛГ"
70,"Черкаська","місцеве","Гушівський","заказник","ботанічний",81,"Ріш. ОВК від 11.03.76 р. № 136","ДП Чигиринське ЛГ","Чигиринський район, кв. 56 ДП Чигиринське ЛГ"
71,"Черкаська","місцеве","Зам’ятницький","заказник","ботанічний",2,"Ріш. Обл. ради від 28.04.93 р. № 14-21","Зам’ятницька сільська рада","Чигиринський район, Сх околиця с. Зам’ятниця"
72,"Черкаська","місцеве","Зубівський","заказник","ботанічний",0.2,"Ріш. ОВК від 14.04.83 р. № 205","ДП Кам’янське ЛГ","Чигиринський район, кв. 2 вид. 3 Креселецького л-ва"
73,"Черкаська","місцеве","Оля ","заказник","ботанічний",0.1,"Ріш. ОВК від 25.05.90 р. № 95","ДП Кам’янське ЛГ","Чигиринський район, кв. 2 вид. 23 Креселецького л-ва"
74,"Черкаська","місцеве","Тюльпан дібровний","заказник","ботанічний",4.5,"ріш. обл. ради від 03.07.02 № 2-8","ДП Кам’янське ЛГ","Чигиринський район, , кв. 17, вид. 13 Креселецького лісництва"
75,"Черкаська","місцеве","Яничанський","заказник","ботанічний",55,"Ріш. ОВК від 11.03.79 р. № 136","ДП Чигиринське ЛГ","Чигиринський район, кв. 37, 38 Яничанського л-ва"
76,"Черкаська","місцеве","Бобухівщина","заказник","ботанічний",2,"Ріш. Обл. ради від 28.04.93 р. № 14-21","СКВ Міжгір’я","Чорнобаївський район, Пд-Сх околиця с. Іркліїв, Сх колишнього с. Скородистик"
77,"Черкаська","місцеве","Джулайка","заказник","ботанічний",14,"Ріш.Обл.ради від 17.08.04 №17-6/ІУ","ДП Золотоніське ЛГ","Чорнобаївський район, на території Придніпровської сільскої ради"
78,"Черкаська","місцеве","Іркліївський","заказник","ботанічний",2,"Ріш. Обл. ради від 28.04.93 р. № 14-21","СКВ Міжгір’я","Чорнобаївський район, Пд-Зх околиця с. Іркліїв"
