"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
80,"Хмельницька","місцеве","Першотравневий","заказник","ботанічний",44,"Рішенням обласної ради народних депутатів від 17.12.1993 року № 3","Дертківська сільська рада с.Дертка Ізяславського р-ну","За 1,5 км. від с.Дертка"
81,"Хмельницька","місцеве","Колонія підсніжника","заказник","ботанічний",7.3,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ДП Славутський лісгосп","Хутірське л-во кв.29 вид 1"
82,"Хмельницька","місцеве","Урочище Балки","заказник","лісовий",12.9,"Рішенням обласної ради народних депутатів від 17.12.1993 року № 3","Віньковецьке РСЛП с.ОхримівціВіньковецького р-ну","Урочище Балки в 3 км від с.Охримівці"
83,"Хмельницька","місцеве","Зайчики","заказник","лісовий",110,"Рішенням сесії обласної ради народних депутатів від 25.12.1992 року № 7","ДП ХОСЛАП Хмельницьк-облагролісВолочиського р-ну","Поблизу с.Зайчики, ліс кв. 2,3"
84,"Хмельницька","місцеве","Чорний ліс","заказник","лісовий",193,"Рішенням облвиконкому від 26.10.1990 року № 194","ДП Кам’янець-Подільський лісгосп","Дунаєвецьке л-во кв. 16-18"
85,"Хмельницька","місцеве","Рахнівецький ліс","заказник","лісовий",676,"Рішенням облвиконкому від 26.10.1990 року № 194","ДП Кам’янець-Подільський лісгосп","Дунаєвецьке л-во кв. 26-37"
86,"Хмельницька","місцеве","Трибухівський ліс","заказник","лісовий",120,"Рішенням облвиконкому від 26.10.1990 року № 194","ДП Кам’янець-Подільський лісгосп","Дунаєвецьке л-во кв. 45"
87,"Хмельницька","місцеве","Красилівський","заказник","лісовий",85,"Рішенням облвиконкому від 26.10.1990 року № 194","ДП Старокостянтинівський лісгосп","Красилівське л-во селекційно насіневий комплекс"
88,"Хмельницька","місцеве","Западинський","заказник","лісовий",30,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ЛСП Красилівліс Красилівського р-ну","Лісове урочище на околиці с.Западинці"
89,"Хмельницька","місцеве","Сосновий бір","заказник","лісовий",21,"Рішенням обласної ради народних депутатів від 17.12.1993 року № 3","ДП Славутський лісгосп","Голицьке л-во кв.33 вид. 7"
90,"Хмельницька","місцеве","Дубовий гай","заказник","лісовий",19,"Рішенням обласної ради народних депутатів від 17.12.1993 року № 3","ДП Славутський лісгосп","Голицьке л-во кв.39 вид. 2"
91,"Хмельницька","місцеве","Калинівський","заказник","лісовий",375,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ДП Старокостянтинівський лісгосп","Самчиківське л-во кв. 16 вид. 17, 12, 14 кв.17 вид. 1, 2, 10, 11, 13,15, 16,18, 19, 20 кв. 18. вид. 9, 10, 12, 17 кв 19 вид. 10, 9, 7, 8, 6, 1, 2, 3, 4, 5 кв. 20 вид. 2, 4, 3 кв. 21 вид. 1, 2, 3, 6, 12"
92,"Хмельницька","місцеве","Мацевицький","заказник","лісовий",41,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ДП Старокостянтинівський лісгосп","Самчиківське л-во кв.23, вид. 9, 13"
93,"Хмельницька","місцеве","Чорнянський","заказник","лісовий",103,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ДП Старокостянтинівський лісгосп","Самчиківське л-во кв.24,25"
94,"Хмельницька","місцеве","Підгірнянський","заказник","лісовий",38,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ДП Старокостянтинівський лісгосп","Сковородецьке л-во, кв. 3"
95,"Хмельницька","місцеве","Давидковецький","заказник","лісовий",506,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ДП Хмельницьке лісомисливське господарство","Хмельницьке л-во кв. 23-34"
96,"Хмельницька","місцеве","Осташки","заказник","лісовий",222,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ДП Хмельницьке лісомисливське господарство","Хмельницьке л-во кв. 12-15"
97,"Хмельницька","місцеве","Бубнівський ліс","заказник","лісовий",130,"Рішенням обласної ради від 1.11.1996 року № 2Розширений рішенням обласної ради від 25.12.1997 року № 5","ДП ХОСЛАП Хмельницьк-облагролісВолочиського р-ну","За 1 км від с.Наркевичі"
98,"Хмельницька","місцеве","Урочище Піддубне","заказник","лісовий",16,"Рішенням 13 сесії обласної ради від 25.12.1997 року № 5","Віньковецьке РСЛП Віньковецького р-ну","Північний і південний схили яру вздовж шляху Калюсик-ОсламівВіньковецького р-ну"
99,"Хмельницька","місцеве","Заслучнянський","заказник","лісовий",26.8,"Рішенням 13 сесії обласної ради від 25.12.1997 року № 5","ЛСП КрасилівлісКрасилівського р-ну","За 1-1.5 км південніше с.Заслучне Красилівського р-ну"
100,"Хмельницька","місцеве","Соколівщина","заказник","лісовий",218,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","ДП Ярмолинецький лісгосп","Ярмолинецьке л-во кв. 42-45 Поблизу смт Ярмолинці"
101,"Хмельницька","місцеве","Євеліна","заказник","лісовий",320,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","ДП Ярмолинецький лісгосп","3 км на захід від смт Ярмолинці Ярмолинецьке л-во кв. 25-29"
102,"Хмельницька","місцеве","Чорний ліс","заказник","лісовий",289,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","ДП Ярмолинецький лісгосп","Поблизу смт Ярмолинці Ярмолинецьке л-во кв.30-33"
103,"Хмельницька","місцеве","Праліс","заказник","лісовий",39.5,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","ДП Славутський лісгосп","Південно-східна частина території Нетішинської міської ради Кривинське л-во кв.15"
104,"Хмельницька","місцеве","Дорогоща","заказник","лісовий",78.5,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","ДП Славутський лісгосп","Південно-східна частина території Нетішинської міської ради Кривинське л-во кв. 26, 27"
105,"Хмельницька","місцеве","Шепетівський","заказник","лісовий",91.8,"Рішенням 22 сесії обласної ради від 21.03.2002 р. №11","Шепетівська міська рада","В північно-східній частині м. Шепетівка, Шепетівського р-ну"
106,"Хмельницька","місцеве","Новиківський","заказник","лісовий",301,"Рішенням 16 сесії обласної ради від 4.04.2001 р. № 10","ДП Старокостянтинівський лісгосп","Самчиківське лісництво кв.1- 7 Старокостянтинівський р-н"
107,"Хмельницька","місцеве","Ладижський","заказник","лісовий",143,"Рішенням 11сесії обласної ради від 30.03.2004 р. № 22-11/2004","ДП Старокостянтинівський лісгосп","Самчиківське л-во кв. 30-32 Старокостянтинівський р-н"
108,"Хмельницька","місцеве","Лісогринівецький","заказник","лісовий",109.4,"Створено, як парк-пам’ятка садово-паркового м-ва рішенням облвиконкому від 17.07.77 р. ере заповідано зі зміною категорії на заповідне урочищеРішенням 11 сесії облради від 30.03.2004 р. № 22-11/2004Змінено категорію рішенням 28 сесії обласної ради від 26.05.2010 р. № 18-28/2010","ДП Хмельницьке лісомисливське господарство","Хмельницьке л-во кв.кв. 35, 36 ДП Хмельницьке лісомисливське господарство"
109,"Хмельницька","місцеве","Шекеринецький","заказник","гідрологічний",52,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","Шекеренецька сільська рада Ізяславського р-ну","В 3 км. на північ від с.Шекеринці"
110,"Хмельницька","місцеве","М’якотівський","заказник","гідрологічний",103.2,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","М’якотівська сільська рада","В 4км. на захід від с.М’якоти Ізяславського р-ну"
111,"Хмельницька","місцеве","Вишнопільський","заказник","гідрологічний",79.1,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","Вишнопільська сільська рада с.Вишнопіль Старокостянтинівського р-ну","Між селами Вишнопіль та Малий Вишнопіль"
112,"Хмельницька","місцеве","Глібівський","заказник","гідрологічний",101.3,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","Глібівська сільська рада Новоушицького р-ну.","Між селами Майдан-Олександрівський та Капустяни"
113,"Хмельницька","місцеве","Ставищанський","заказник","гідрологічний",400,"Рішенням облвиконкому від 26.10.1990 року № 194","Ставищанська сільська рада с.Ставищани Білогірського р-ну","Біля с.Ставищани"
114,"Хмельницька","місцеве","Голубі озера","заказник","гідрологічний",74,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","Гулівецька сільська рада Білогірського р-ну","Між селами Жижківці і Синітки"
115,"Хмельницька","місцеве","Женишковецький","заказник","гідрологічний",70,"Рішенням облвиконкому від 04.09.1982 року № 278","Селянська спілка Іскра с. Повець Віньковецького р-ну","Поблизу села Женишківці"
116,"Хмельницька","місцеве","Божиковецький","заказник","гідрологічний",76,"Рішенням 13 сесії обласної ради від 25.12.1997 року № 5","Божиковецька сільська рада с.Божиківці Деражнянського р-ну","Між селами Божиківці і овець м Деражнянського р-ну"
