"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
47,"Вінницька","місцеве","Немирівське побужжя","регіональний ландшафтний парк",,5678,"Рішення 16 сесії Вінницької обласної ради 6 скликання Про створення нових об`єктів природно-заповідного фонду місцевого значення №548 від 20.06.2013 року",,
48,"Вінницька","місцеве","Урочище Шиянецьке","заказник","ботанічний",11,"Рішення 11 сесії 23 скликання облради від 17.12.99 р.","ТОВ Лан, с. Гайове","Барський районс.ГайовеГаєвська сільська рада"
49,"Вінницька","місцеве","Крушинівський","заказник","ботанічний",594,"Рішення облради № 263 від 25.10.90 р.","Бершадський ДЛГ","Бершадський районМаньківська сільська радаСумівське лісництво кв. 40-57"
50,"Вінницька","місцеве","Сумівський","заказник","ботанічний",10,"Розпорядження № 421 від 25.10.77 р.","Бершадський ДЛГ","Бершадський районСумівська сільська радаСумівське лісництвокв.12, діл. 9"
51,"Вінницька","місцеве","П’ятничанський","заказник","ботанічний",8.6,"Рішення облради № 371 від 29.08.84 р.","Вінницьке ДЛМГ","Вінницький районСтрижавська сільська радаЯкушинецьке лісництво кв.41, діл. 3-6"
52,"Вінницька","місцеве","Стрижавські орхідеї","заказник","ботанічний",4.3,"Рішення облради № 525 від 19.12.85 р.","Стрижавська сільська рада","Вінницький районСтрижавська сільська рада"
53,"Вінницька","місцеве","Запопова","заказник","ботанічний",35.2,"Рішення 11 сесії 23 скликання облради від 17.12.99 р.","СТОВ Дружба","Іллінецький районс.КантелинаКантелинська сільська рада"
54,"Вінницька","місцеве","Курочка","заказник","ботанічний",50.4,"Рішення 9 сесії облради від 28.03.97 р.","СФГ Прогрес","Козятинський районс. ЗбаражЗбаразька сільська рада"
55,"Вінницька","місцеве","Урочище Турська стінка","заказник","ботанічний",40.8,"Розпорядження облдержадміністрації № 200 від 22.12.95 р.","СТОВ Вільшанське","Крижопільський районс.Вільшанка"
56,"Вінницька","місцеве","Урочище Суха долина","заказник","ботанічний",18.1,"Розпорядження облдержадміністрації № 200 від 22.12.95 р.","ТОВ Агрофірма Крижопіль","Крижопільський районс.Джугастра"
