"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
40,"Кіровоградська","місцеве","Краснопільська балка","заказник","ландшафтний",50,"Рішенням Кіровоградської обласної ради №71 від 11.10.1996р.","Маловисківська районна державна адміністрація","Маловисківський р-н, поблизу с.Краснопілка"
41,"Кіровоградська","місцеве","Лозуватський","заказник","ландшафтний",70,"Рішенням Кіровоградської обласної ради №234 від 20.04.2001 р.","Онуфріївська районна державна адміністрація","Онуфріївський р-н, поблизу с.Лозуватка"
42,"Кіровоградська","місцеве","Майгорове","заказник","ландшафтний",35,"Рішенням Кіровоградської обласної ради №13 від 26.08.1994р.","ДП Онуфріївський лісгосп","Онуфріївський р-н, поблизу с.Павлиш"
43,"Кіровоградська","місцеве","Недогарський","заказник","ландшафтний",50,"Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.","Онуфріївська районна державна адміністрація","Онуфріївський р-н, поблизу с.Василівка"
44,"Кіровоградська","місцеве","Ново-Михайлівський","заказник","ландшафтний",25.3,"Рішенням Кіровоградської обласної ради №92 від 29.07.1997р.","ДП Компаніївський лісгосп","Кіровоградський р-н, поблизу с.Ново-Михайлівка"
45,"Кіровоградська","місцеве","Острів Лисячий","заказник","ландшафтний",100,"Рішенням Кіровоградської обласної ради №81 від 06.09.2002р.","Світловодська районна державна адміністрація","Світловодський р-н, Кременчуцьке водосховище"
46,"Кіровоградська","місцеве","Панські гори","заказник","ландшафтний",8.1,"Рішенням Кіровоградської обласної ради №31 від 13.01.1995р.","Новомиргородська районна державна адміністрація","Новомиргородський р-н, поблизу м.Новомиргород"
47,"Кіровоградська","місцеве","Розумівська балка","заказник","ландшафтний",57.4,"Рішенням Кіровоградської обласної ради №47 від 19.05.1995р.","ДП Олександрівський лісгосп","Олександрівський р-н, поблизу с.Бовтишка"
48,"Кіровоградська","місцеве","Суховершок","заказник","ландшафтний",40,"Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.","ДП Онуфріївський лісгосп","Онуфріївський р-н, поблизу с.Камбурліївка"
49,"Кіровоградська","місцеве","Там, де Ятрань круто в’ється","заказник","ландшафтний",10,"Рішенням Кіровоградської обласної ради №13 від 26.08.1994р.","Голованівська районна державна адміністрація","Голованівський р-н, поблизу с.Полонисте"
50,"Кіровоградська","місцеве","Урочище сад","заказник","ландшафтний",16.2,"Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.","Долинська районна державна адміністрація","Долинський, с. Василівка"
51,"Кіровоградська","місцеве","Чагар","заказник","ландшафтний",71.5,"Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.","Олександрівська районна державна адміністрація","Олександрівський р-н, поблизу с. Нижчі Верещаки"
52,"Кіровоградська","місцеве","Левади","заказник","ландшафтний",77.1,"Рішенням Кіровоградської обласної ради № 600 від 19.12.2008 року.","Новгородківська районна державна адміністрація","Новгородківський район,с. поблизу Спасове"
