№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1.;«Асканія-Нова»;дендрологічний парк;;183,2;вул. Фрунзе, 13 смт Асканія-Нова, Чаплинський район;Біосферний заповідник «Асканія-Нова»                           ім. Ф.Е.Фальц-Фейна;Постанова РМ УРСР №311 від 22.07.83 р.
;Всього дендрологічних парків загальнодержавного значення;1;;183,2;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення;13;;244665,96;;;
території та об’єкти ПЗФ місцевого значення;;;;;;;
1.;«Інгулець»;заказник;ландшафтний;937;кв.кв. 7-21, 24, 27-29, 33, 35, 41-44, 50, 56, 60-65 Великоолександрівського лісництва ДП «Великоолександрівське ЛМГ»Великоолександрівського району;ДП «Великоолександрівське ЛМГ»;Рішення облвиконкому від 03.03.78 р. №160/5,перезатверджено від 19.08.83 р. 144/16
2.;«Каїрська балка»;заказник;ландшафтний;664,9;с. КаїриГорностаївського району;Каїрська сільська рада;Рішення ХІХ сесії                        23 скликання обласної ради від 26.07.01р. №424
3.;«Балка Великі Сірогози»;заказник;ландшафтний;636;на території Нижньоторгіївської, Верхньосірогозької, Першопокровської, Новоолександрівської сільської ради та Нижньосірогозької селищної ради Нижньосірогозького району ;Нижньосірогозька районна рада;Рішенням Херсонської обласної ради ХІХ сесії                 V скликання від 04.10.07р.  № 412
4.;«Боброве Озеро»;заказник;ландшафтний;50;Голопристанського району;Голопристанськаміська рада ;Рішенням Херсонської обласної ради ХХVІ сесії V скликаннявід 18.03.08р. № 557
;Разом заказників ландшафтних;4;;2287,9;;;
5.;«Інгулецький лиман»;заказник;ботанічний;50;кв. 22 вид. 8 (5,9 га) Токарівське лісництвоДП «Херсонське ЛМГ» та в межах акваторії Інгулецького лимана(44,1 га) Білозерський район;ДП «Херсонське ЛМГ»;Рішення облвиконкому від 19.08.83 р. №144/16
6.;«Хрестова сага»;заказник;ботанічний;30;"побережжя Ягорлицької затоки; 0,5 км від Солоно-озерної ділянки ЧБЗ, Голопристанський район";Переоформляється охоронне зобов’язання ;Рішення облвиконкому  від 19.08.83 р. №144/16
7.;«Шаби»;заказник;ботанічний;20;кв.5 вид. 1, кв. 6 вид. 1 Рибальчанське лісництво, ДП «Збур’ївське ЛМГ», Голопристанський район;ДП «Збур’ївське ЛМГ»;Рішення облвиконкому  від 19.08.83 р. №144/16
8.;«Софіївський»;заказник;ботанічний;194;південно-західна околиця с. Софіївка  ;Широкобалківська сільська рада;Рішення ІІІ сесії                    23 скликання обласної ради від 25.06.98 р. №27
9.;«Широка балка»;заказник;ботанічний;116;південно-східна околиця с. Широка Балка;Широкобалківська сільська рада;Рішення ІІІ сесії 23 скликання обласної ради від 25.06.98 р. №27
;Разом заказників ботанічних;5;;410;;;
10.;«Асканійський»;заказник;загально - зоологічний;17746;буферна зона біосферного заповідника «Асканія-Нова»;Переоформляється охоронне зобов’язання ;Рішення облвиконкому  від 19.08.83 №144/16
11.;«Бакайський жолоб»;заказник;загально - зоологічний;1680;кв.кв.44-46, 52-59 Білозерське лісництво, ДП «Херсонське ЛМГ»;ДП «Херсонське ЛМГ»;"Рішення облвиконкому                від 03.03.78 р. №60/5; перезатверджено від 19.08.83 р. 144/16"
12.;«Корсунський;заказник;загально - зоологічний;3357;кв.кв. 23-56 Корсунське лісництво, ДП «Каховське ЛГ», м. Нова Каховка та Цюрупинського району;ДП «Каховське ЛГ»;Рішення облвиконкому від 03.03.78 р. №160/5, перезатверджено від 19.08.83 р. 144/16
;Разом заказників загально-зоологічних;3;;22783;;;
13.;«Думузла»;заказник;орнітологічний;1411,9;на території Привільської сільської ради Каланчацького районута ВАТ «Херсорибгосп»  ;Привільнянська сільська радаВАТ «Херсорибгосп»  ;Рішення ХУІ сесії                     23 скликання обласної ради від 22.12.00р. №326
;Разом заказників орнітологічних;1;;1411,9;;;
;Всього заказниців місцевого значення;13;;26892,8;;;
1. ;Дуб черешчатий;пам`ятка природи;ботанічна;;м. Херсон, парк Леніна;КП «Херсонкомунсервіс»(переоформляється охоронне зобов’язання);Рішення облвиконкому             від 19.08.83 р. №441/16
2.;Вікові платани;пам`ятка природи;ботанічна;;м. Нова Каховка, в центральному парку відпочинку на березі р. Дніпро ;Комунальне підприємство«Наше Місто» ;Рішення облвиконкому             від 19.08.83 р. №441/16
3.;Меморіальні дуби (2);пам`ятка природи;ботанічна;;м. Нова Каховка, біля будинку культури ;Комунальне підприємство«Наше Місто» ;Рішення облвиконкому             від 19.08.83 р. №441/16
