№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
8;Центральний парк культури і відпочинку м. Мог.-Подільського;парк-пам’ятка садово-паркового мистецтвва;;15,5;Могилів-Подільський район, Могилів-Подільська міська рада, м. Могилів-Подільський ;Могилів-Подільський ЦПКіВ;Рішення облвиконкому № 525 від 19.12.85р.
9;Бронницький парк;парк-пам’ятка садово-паркового мистецтвва;;8;Могилів-Подільський район, Броницька сільська рада, с.Бронниця;Пансіонат відпочинку “Гірський”;Рішення облвиконкому № 525 від 19.12.85р.
10;Михайловецький парк;парк-пам’ятка садово-паркового мистецтвва;;22;Муровано-Куриловецький район, с.Михайлівці;Михайловецьке СПТУ № 36;Рішення облвиконкому № 187 від 13.05.96 та №335 від 22.06.72р.
11;“Вікторія”;парк-пам’ятка садово-паркового мистецтвва;;11;Муровано-Куриловецький район, с.Котюжани;Загальноосвітня школа для розумово відсталих дітей, с.Котюжани;Розпорядження Вінницької облдержадміністрації від 22.12.95р. №200 
12;“Жван”;парк-пам’ятка садово-паркового мистецтвва;;3,5;Муровано-Куриловецький район, смт. Муровані-Курилівці;, Муровано-Куриловецька селищна рада;Розпорядження Вінницької облдержадміністрації від 22.12.95р. №200 
13;Сокілецький парк;парк-пам’ятка садово-паркового мистецтвва;;30,4;Немирівський район, Сокілецька сільська рада, с.Сокілець;Пансіонат  “Сокілець” Хмільницького АТ “Укрпрофоздоровлення”;Рішення облвиконкому № 187 від 13.05.96 та №335 від 22.06.72р.
14;Васильківський парк;парк-пам’ятка садово-паркового мистецтвва;;1,6;Погребищенський район,  с.Васильківці;Спичинецька сільська рада;Рішення облради 9 сесії 22 скликання від 28.03.97р.
15;Спичинецький парк;парк-пам’ятка садово-паркового мистецтвва;;9,7;Погребищенський район, с.Спичинці;Спичинецька сільська рада;Рішення облради 9 сесії 22 скликання від 28.03.97р.
16;Сутиський парк;парк-пам’ятка садово-паркового мистецтвва;;20;Тиврівський район, с.Сутиски;Сутиська школа-інтернат;Рішення облвиконкому  №371 від 29.08.84р.
17;Комаргородський парк;парк-пам’ятка садово-паркового мистецтвва;;2,5;Томашпільський район,  с.Комаргород;Комаргородське СПТУ №39;Рішення облвиконкому № 187 від 13.05.96, №335 від 22.06.72 та №371 від 29.08.84р.
