№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
8;Парк відпочинку;парк-пам`ятка садово-паркового мистецтва;;1;Берегівський р-н, с. Мужієво;Мужіївська сільська рада;Ріш. ОВК від 18.11.1969 р. № 414
9;"""Парк відпочинку (Парк Перемоги)""";парк-пам`ятка садово-паркового мистецтва;;10.864;м. Мукачево, вул. Садова;КП “Комбінат благоустрою”;Ріш. ОВК від 23.10.1984 р. № 253, Ріш. облради від 25.07.2008 р. № 614, Ріш. облради від 04.12.2008 р. № 708
10;"""Парк культури і відпочинку""";парк-пам`ятка садово-паркового мистецтва;;5;Тячівський р-н, смт. Буштино;Буштинська селищна рада;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 23.10.1984 р. № 253
11;"""Парк-арборетум""";парк-пам`ятка садово-паркового мистецтва;;2;Тячівський р-н, с. Руське Поле, вул. Травнева;Русько-Полівська сільська рада;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253
12;"""Парк культури і відпочинку""";парк-пам`ятка садово-паркового мистецтва;;4.8;м. Рахів, ДП “Рахівське ЛДГ”, Рахівське л-во, квартал 5, виділ 11,25, 26, 29, 40;ДП “Рахівське ЛДГ”;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253
13;Парк відпочинку;парк-пам`ятка садово-паркового мистецтва;;5;Рахівський р-н, смт. Ясіня;Ясінянська селищна рада;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243,  Ріш. ОВК від 23.10.1984 р. № 253 Ріш. облради від 25.07.2008 р. № 614, Ріш. облради від 04.12.2008 р. № 708
14;Сквер міськлікарні;парк-пам`ятка садово-паркового мистецтва;;0.4;м. Ужгород, вул. Ференца Ракоці, 3;Ужгородська міська лікарня;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243
15;Палісадник університетської бібліотеки;парк-пам`ятка садово-паркового мистецтва;;0.5;м. Ужгород, вул. Капітульна, 9;УжНУ;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243
16;Липова алея;парк-пам`ятка садово-паркового мистецтва;;1;м. Ужгород, набережна Незалежності;Ужгородський міськвиконком;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243
17;Партерний сквер;парк-пам`ятка садово-паркового мистецтва;;2;м. Ужгород, площа Народна;Ужгородський міськвиконком;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243
18;Міський сквер;парк-пам`ятка садово-паркового мистецтва;;2;м. Мукачево;КП “Комбінат благоустрою”;Ріш. ОВК від 18.11.1969 р. № 414
19;Палісадник хімкорпусу держуніверситету;парк-пам`ятка садово-паркового мистецтва;;0.2;м. Ужгород, вул. Фединця, 53;УжНУ;Ріш. ОВК від 18.11.1969 р. № 414
20;Сквер міськлікарні;парк-пам`ятка садово-паркового мистецтва;;1;м. Мукачево;Мукачівська міська лікарня;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243
21;Міський сквер (парк ім. Горького);парк-пам`ятка садово-паркового мистецтва;;2.288;м. Мукачево, вул. Парканія;Мукачівський міськвиконком;Ріш. ОВК від 25.07.1972 р. № 243,  Ріш. облради від 25.07.2008 р. № 614, Ріш. облради від 04.12.2008 р. № 708
22;Парк відпочинку;парк-пам`ятка садово-паркового мистецтва;;4;м. Берегово;Берегівська районна лікарня;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253
23;Сквер і пл. Героїв;парк-пам`ятка садово-паркового мистецтва;;1;м. Берегово, площа Героїв;Берегівський міськвиконком;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.06.1972 р. № 243
24;Міський парк культури і відпочинку;парк-пам`ятка садово-паркового мистецтва;;2.7;м. Виноградів;Виноградівська міська рада;Рішення ОВК від 23.10.1984 р. № 253
25;Парк культури і відпочинку;парк-пам`ятка садово-паркового мистецтва;;4;м. Виноградів;Виноградівський міськвиконком;Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253
26;Розарій в дворі зеленгоспу;парк-пам`ятка садово-паркового мистецтва;;2;м. Виноградів;Виноградівський міськвиконком;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243
27;Арборетум в дворі райвиконкому;парк-пам`ятка садово-паркового мистецтва;;0.25;смт. Великий Березний;В. Березнянська селищна рада;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.06.1972 р. № 243
28;Рокарій ЗАТ “Закарпатліс”;парк-пам`ятка садово-паркового мистецтва;;0.51;м. Ужгород, вул. Собранецька, 60;Дирекція ЗАТ “Закарпатліс”;Ріш. облради від 11.01.2002 р. № 377
29;Парк;парк-пам`ятка садово-паркового мистецтва;;0.9;Тячівський р-н, смт. Буштино, вул. Тополівка;Буштинська селищна рада;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253
30;Парк „Чонок“;парк-пам`ятка садово-паркового мистецтва;;6.1;Свалявський р-н;Дитячий санаторій „Човен”;Ріш. ОВК від 25.07.1972 р. № 243, Ріш. облради від 25.07.2008 р. № 614, Ріш. облради від 04.12.2008 р. № 708
31;Парк “Чертеж”;парк-пам`ятка садово-паркового мистецтва;;6;Ужгородський р-н, с. Чертеж;Худлівська сільська рада;Ріш. ОВК від 23.10.1984 р. № 253
32;Сквер “Т. Масарика”;парк-пам`ятка садово-паркового мистецтва;;0.57;;;Ріш. Закарпатської облради від  16 листопада 2012 р. № 554
33;Дендропарк;парк-пам`ятка садово-паркового мистецтва;;1;м. Берегово, вул. Шевченка, 120;"СТОВ ""Берегівське""";Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253
34;Дендропарк;парк-пам`ятка садово-паркового мистецтва;;2;м. Виноградів, площа Миру, 33;Дирекція школи №4;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253
;Всього парків-пам`яток садово-паркового мистецтва місцевого значення;34;;138.282;;;
;Всього територій та об`єктів ПЗФ місцевого значення;425;;23427.5258;;;
;Всього територій та об`єктів ПЗФ;459;;182384.0398;;;
