№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;
4;Висоцький дендропарк;пам`ятка природи;комплексна;1,5;Дубровицький район Висоцьке л-тво: кв.79 вид. 2;ДП „Висоцький лісгосп”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
5;Більський дендропарк;пам`ятка природи;комплексна;1;Дубровицький район Більське л-во: кв. 8 вид. 3;ДП „Висоцький лісгосп”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
6;Урочище “Жаденське”;пам`ятка природи;комплексна;0,6;Дубровицький район Жаденське л-во: кв.25 вид.8;ДП „Висоцький лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
7;Трипутнянський парк;пам`ятка природи;комплексна;3;Дубровицький парк Трипутнянське л-во: кв. 27 вид. 36;ДП „Дубровицький лісгосп”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
8;Дендропарк Острозького держлісгоспу;пам`ятка природи;комплексна;0,6;Острозький район ;Острозька міська рада;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
9;Рокитнівський дендропарк;пам`ятка природи;комплексна;1,8;Рокитнівський район ;ДП „Рокитнівський лісгосп”;Рішення облради № 98 від 18.06.91 р.;
10;Стоянка партизан;пам`ятка природи;комплексна;98;Сарненський район Чабельське л-во: кв. 59;ДП „Клесівський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
11;Сарненський дендропарк;пам`ятка природи;комплексна;1,5;Сарненський район Сарненське л-во: кв. 78 вид. 9;ДП „Сарненський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1438 від 18.12.2009р.);
12;"Дендропарк ""Радивилівський""";пам`ятка природи;комплексна;0,7;Радивилівський район м.Радивилів;Радивилівська міська рада;Рішення облради № 33 від 28.02.95р. ;
13;"Парк ""Зарічненський""";пам`ятка природи;комплексна;0,6;Радивилівський район;Іващуківська сільська рада ;Рішення облради № 33 від 28.02.95р.;
;Разом пам`яток природи комплексних;13;;114,5;;;;
1;Насадження сосни чорної;пам`ятка природи;ботанічна;1;Березнівський район Березнівське л-во: кв. 44 вид.16;ДП „Березнівський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
2;Насадження сосни веймутової;пам`ятка природи;ботанічна;0,4;Березнівський район Балашівське л-во: кв. 31 вид.38;ДП „Березнівський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
3;Вовкова;пам`ятка природи;ботанічна;13,9;Березнівський район Більчаківське л-во: кв. 30 вид.1, 7, 10, 16, 19;ДП „Соснівський лісгосп”;Рішення облради № 69 від 13.03.99р. ;
4;Страусове перо;пам`ятка природи;ботанічна;20,2;"Березнівський район Жовтневе л-во: кв. 19 вид.2, 4, 5; кв. 20 вид.1, 2, 3, 11";ДП „Соснівський лісгосп”;Рішення облради № 322 від 5.03.04 р. (зі змінами рішення облради № 584 від 27.05.2005 року);
5;Плющ звичайний;пам`ятка природи;ботанічна;13;Березнівський район Жовтневе л-во: кв. 25 вид.5;ДП „Соснівський лісгосп”;Рішення облради № 322 від 5.03.04р.;
6;Дуб-велетень;пам`ятка природи;ботанічна;1,3;Демидівський район Дублянське л-во: кв. 53 вид.21;ДП „Млинівський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та змінами рішення облради № 584 від 27.05.2005р.);
7;Лиса гора;пам`ятка природи;ботанічна;4;Дубенський район;ССВК „Лісовик”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
8;Віковічні дуби;пам`ятка природи;ботанічна;3;Дубровицький район;ДП „Дубровицький лісгосп”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
9;Псевдотсуга тисолиста;пам`ятка природи;ботанічна;0,1;Зарічненський район с.Мутвиця;Морочненська сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
10;Озеро “Мале”;пам`ятка природи;ботанічна;2,8;Зарічненський район Дубрівське л-во: кв. 13 вид. 30;ДП „Зарічненський лісгосп”;Рішення облради №213 від 13.10.93 р.;
11;300-річні липи;пам`ятка природи;ботанічна;0,1;Здолбунівський район с.Дермань Друга;Дерманська Друга сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
12;400-річний каштан;пам`ятка природи;ботанічна;0,1;Здолбунівський район с.Дермань;Дерманська  школа-інтернат;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
13;Віковічні липи;пам`ятка природи;ботанічна;0,1;Здолбунівський район с.Уїздці;Уїздецька сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
14;Дерманська;пам`ятка природи;ботанічна;120;Здолбунівський район с.Дермань Друга;"ЗАТ ""Лісовик"" ТзОВ ""Захід-Агро""";Рішення облвиконкому № 69  від 13.03.1999р.;
15;Печений Віл;пам`ятка природи;ботанічна;12,7;Млинівський район с.Кораблище;Кораблищенська сільська рада;Рішення облради № 33 від 28.02.95 р.;
16;Віковічний каштан;пам`ятка природи;ботанічна;0,1;Рівненський район с.Шубків;Шубківська сільська рада;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
17;Хвощ великий;пам`ятка природи;ботанічна;6,2;Рівненський район с.Решуцьк;Кустинська сільська рада;Рішення облради № 33 від 28.02.95р.;
18;Острів;пам`ятка природи;ботанічна;15;Рівненський район с.Городок;Городоцька сільська рада;Рішення облради № 33 від 28.02.95р.;
19;Купринівське дерево;пам`ятка природи;ботанічна;0,1;Сарненський район с.Кузьмівка;Кузьмівська сільська рада;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
20;Рідкісне дерево сосни;пам`ятка природи;ботанічна;0,1;Сарненський район;Рівненський природний заповідник;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
21;Букова алея;пам`ятка природи;ботанічна;0,1;Сарненський район с.Пугач;Клесівська селищна рада;Рішення облради № 213 від 13.10.93р.;
22;Дерево гледичії;пам`ятка природи;ботанічна;0,1;Радивилівський район м.Радивилів;Радивилівська міська рада;Рішення облради № 33 від 28.02.95р.;
23;Вікові дерева сосни;пам`ятка природи;ботанічна;0,1;Радивилівський район Радивилівське л-во: кв. 113 вид.10;ДП „Дубенський лісгосп”;Рішення облради № 33 від 28.02.95р.;
24;Пороховня;пам`ятка природи;ботанічна;1,9;Радивилівський район с.Дружба;Бугаївська сільська рада;Рішення облради № 33 від 28.02.95р. ;
25;Острів “Замок”;пам`ятка природи;ботанічна;4;Радивилівський район с.Козин;Іващуківська сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
26;Липа серцелиста;пам`ятка природи;ботанічна;0,1;Березнівський район м.Березне;Березнівська міська рада;Рішення облради № 584 від 27.05.05р.;
27;Гіркокаштан звичайний;пам`ятка природи;ботанічна;0,1;Березнівський район м.Березне;Березнівська міська рада;Рішення облради № 584 від 27.05.05р.;
28;Микитина сосна;пам`ятка природи;ботанічна;0,1;Березнівський район с.Березне;Балашівська сільська рада;Рішення облради № 584 від 27.05.05р.;
29;Липа-велетень;пам`ятка природи;ботанічна;0,1;Корецький район с.Світанок;Світанівська сільська рада;Рішення облради № 584 від 27.05.05р.;
30;Угілецька тополя;пам`ятка природи;ботанічна;0,01;Гощанський район Поблизу с.Угільці;Бугринська сільська рада ;Рішення облради № 263 від 22.04.2011р.;
31;Дуб башинський ;пам`ятка природи;ботанічна;0,01;Гощанський район с.Башине;Бугринська сільська рада;Рішення облради № 263 від 22.04.2011р.;
;Разом пам`яток природи ботанічних;31;;220,82;;;;
1;Більчаківське джерело;пам`ятка природи;гідрлогічна;3;Березнівський район с.Більчаки;Марининська сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;Лісове болітце;пам`ятка природи;гідрлогічна;3,5;Березнівський район Щекичинське л-во: кв. 50 вид.8, 9;ДП „Соснівський лісгосп”;Рішення облради № 322 від 5.03.04 р.;
3;Цепцевицьке джерело;пам`ятка природи;гідрлогічна;0,5;Володимирецький район с.В.Цепцевичі;Великоцепцевицька сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
4;Джерело “Батиївка”  ;пам`ятка природи;гідрлогічна;1;Здолбунівський район с.Дермань Друга;Дерманська Друга сільська рада;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
5;Природне джерело;пам`ятка природи;гідрлогічна;0,3;Рівненський район с.Хотинь;Шпанівська  сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
6;Озеро “Карпилівське”;пам`ятка природи;гідрлогічна;0,6;Сарненський район Карпилівське л-во: кв. 82 вид.1;ДП „Сарненський лісгосп”;Рішення облради № 213 від 13.10.93р.;
7;Балка Гребельки;пам`ятка природи;гідрлогічна;15;Гощанський район с.Бугрин;Бугринська сільська рада;Рішення облради № 584 від 27.05.05р.;
8;Джерело Безодня;пам`ятка природи;гідрлогічна;12;Гощанський район с.Бугрин;Бугринська сільська рада;Рішення облради № 584 від 27.05.05р.;
9;Джерело Медведка;пам`ятка природи;гідрлогічна;1,6;Гощанський район с.Бугрин;Бугринська сільська рада;Рішення облради № 584 від 27.05.05р.;
10;Дорогобузькі джерела;пам`ятка природи;гідрлогічна;8,7;Гощанський район с.Горбаків;Горбаківська сільська рада;Рішення облради № 584 від 27.05.05р.;
11;Рязниківські джерела;пам`ятка природи;гідрлогічна;0,1;Гощанський район с.Рясники;Рясниківська сільська рада;Рішення облради № 584 від 27.05.05р.;
12;Джерело Ринва;пам`ятка природи;гідрлогічна;9,9;Здолбунівський район кв. 66 вид. 6, 7, 11, 12;ДП СЛП “Здолбунівський держспецлісгосп”;Рішення облради № 584 від 27.05.05р.;
13;Башинська криничка;пам`ятка природи;гідрлогічна;0,1;Гощанський район с.Башине;Бугринська сільська рада;Рішення облради № 263 від 22.04.2011р.;
;Разом пам`яток природи гідрологічних;13;;56,3;;;;
1;Базальтові стовпи;пам`ятка природи;геологічна;0,8;Костопільський район;ВАТ “Івано-Долинський спецкар’єр”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;Кар’єр кембрійських глин;пам`ятка природи;геологічна;2;Рівненський район с.Хотинь;Шпанівська сільська рада;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Разом пам`яток природи геологічних ;2;;2,8;;;;
;Всього пам’яток природи місцевого значення;59;;394,42;;;;
1;Терентіївські гори;заповідне урочище;;15;Гощанський район с.Синів;Синівська сільська рада;Рішення облради № 584 від 27.05.05р.;
2;Новоставське;заповідне урочище;;53;Гощанський район кв.13 ;"ДП СЛАП ""Гощанський держспецлісгосп""";Рішення облвикон-кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р., рішення облради № 322 від 05.03.2004р. та змінами рішення облради № 584 від 27.05.2005р.);
3;Бірок;заповідне урочище;;28,7;"Дубенський район Смизьке л-во: кв.1 вид.1, 2, 4, 8; кв.2 вид.1, 8, 10, 13";ДП „Дубенський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.та зі змінами рішення облради № 58 від 29.10.2002р.);
4;Олександрівка;заповідне урочище;;103;Дубенський район Мирогощанське л-во: кв.25, 26 (крім вид. 10);ДП „Дубенський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
5;Дубові насадження;заповідне урочище;;2,5;Дубенський район Смизьке л-во: кв.13 вид.19;ДП „Дубенський лісгосп”;Рішення облвикон­кому № 98 від 18.06.91р.;
6;Ділянка лісу;заповідне урочище;;9,6;"Дубенський район Смизьке л-во: кв. 50 вид.23;  кв. 74 вид.2";ДП „Дубенський лісгосп”;Рішення облвикон­кому № 98 від 18.06.91р.;
7;Ділянка ясеневого лісу;заповідне урочище;;10;Демидівський район кв. 2 вид. 7, 11, 13, 16, 17;ДП СЛАП „Демидівський держспецлісгосп”;Рішення облради № 584 від 27.05.05р.;
8;Більське;заповідне урочище;;10;Дубровицький район Більське л-во: кв. 44  вид.1;ДП „Висоцький лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
9;Золотинське;заповідне урочище;;12;Дубровицький район Золотинське л-во: кв. 36 вид.2;ДП „Висоцький лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
10;Поліська діброва;заповідне урочище;;26;"Дубровицький район Дубровицьке л-во: кв. 40 вид.9; кв. 28 вид.11, 12";ДП „Дубровицький лісгосп”;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
11;Топець;заповідне урочище;;8,1;Зарічненський район Річецьке л-во: кв. 26 вид.7, 10, 13, 23, 27, 28;ДП „Зарічненський лісгосп”;Рішення облвикон­ко­му № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
12;Гурби;заповідне урочище;;196;Здолбунівський район Мостівське л-во: кв. 58,59  вид.1-19, 21-24;ДП „Острозький лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
13;Нараїв;заповідне урочище;;52;Здолбунівський район Мостівське л-во: кв. 6;ДП „Острозький лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
14;Спасівське;заповідне урочище;;260;Здолбунівський район Здолбунівське л-во: кв. 39-41, 51-53, 55-57;ДП „Рівненський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
15;Мостівське;заповідне урочище;;101;Здолбунівський район Мостівське л-во: кв. 52;ДП „Острозький лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
16;Ділянка букового лісу;заповідне урочище;;7,7;Здолбунівський район Здолбунівське л-во: кв. 50 вид.1;ДП “Рівненський лісгосп”;Рішення облради № 584 від 27.05.05р.;
17;Урочище “Будки”;заповідне урочище;;6,6;Здолбунівський район кв. 66 вид. 8-10, 13, 14;ДП СЛП “Здолбунівський держспецлісгосп”;Рішення облради № 584 від 27.05.05р.;
18;Урочище “Пекло”;заповідне урочище;;54;"Здолбунівський район Мостівське л-во: кв. 74 вид. 2, 11, 15, 16, 23-25;  кв. 76, вид. 10, 12, 13, 22, 23, 27";ДП “Острозький лісгосп”;Рішення облради № 584 від 27.05.05р. (зі змінами рішення облради № 1331 від 25.09.2009р.);
19;Урочище “Зіньків камінь”;заповідне урочище;;54;Здолбунівський район Мостівське л-во: кв.63 вид. 2-9, 11-17;ДП “Острозький лісгосп”;Рішення облради № 584 від 27.05.05р. (зі змінами рішення облради № 1331 від 25.09.2009р.);
20;Урочище “Турова могила”;заповідне урочище;;1,5;Здолбунівський район Мостівське л-во: кв. 64 вид. 19;ДП “Острозький лісгосп”;Рішення облради № 584 від 27.05.05р. (зі змінами рішення облради № 1331 від 25.09.2009р.);
21;Базальтівська дача;заповідне урочище;;19,2;Костопільський район Базальтівське л-во: кв. 2  вид.10, 29;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
22;Еталонні насадження;заповідне урочище;;14;Костопільський район Базальтівське л-во: кв. 9 вид.2  ;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
23;Базальтівська діброва;заповідне урочище;;21;Костопільський район Базальтівське л-во: кв.13 вид.1, 4;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
24;Ділянка лісу;заповідне урочище;;0,4;Костопільський район Базальтівське л-во: кв.17 вид.15;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
25;Острівні вікові насадження;заповідне урочище;;46,3;"Костопільський район Костопільське л-во: кв.1 вид.1, 14, 15, 18, 26, 27, 30; кв. 2 вид.17, 19, 23";ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
26;Еталонні насадження;заповідне урочище;;0,7;Костопільський район Базальтівське л-во: кв.16 вид. 43;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
27;Дубово-грабові насадження на Поліссі;заповідне урочище;;11,5;Костопільський район Корчинське л-во: кв.17 вид. 3, 4;ДП „Рівненський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
28;Соснові насадження;заповідне урочище;;14;Костопільський район Мащанське л-во: кв. 55 вид. 1;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.);
29;Сосносі насадження;заповідне урочище;;1,9;Костопільський район Мащанське л-во: кв. 48 вид.27;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
30;Сосново-дубові насадження;заповідне урочище;;7,2;Костопільський район Мащанське л-во: кв. 54 вид. 5, 7, 8, 11 ;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
31;Дубові насадження;заповідне урочище;;12;Костопільський район Моквинське л-во: кв. 32 вид.4;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
32;Дубові насадження;заповідне урочище;;3,7;Костопільський район Моквинське л-во: кв. 50 вид.3;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.);
33;Еталонні насадження;заповідне урочище;;2,5;Костопільський район Моквинське л-во: кв. 53 вид.14, 43;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.);
34;Космачівщина;заповідне урочище;;64;"Костопільський район Моквинське л-во: кв. 11 вид.5, 6, 13, 14;  кв. 18 вид.1, 10, 15, 21";ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
35;Золотолинська дача;заповідне урочище;;197,6;"Костопільський район Стиденське  л-во: кв. 15 вид. 3, 4, 9, 10, 13, 16, 17, 18; кв. 16 вид. 8, 13, 14 кв. 17 вид. 11, 12, 18, 20 кв. 22 вид. 5, 7, 8, 12 кв.23 вид.1,2,11,18,20,22,28";ДП „Костопільський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
36;Суська дача;заповідне урочище;;227;Костопільський район Суське л-во: кв. 26, 27;ДП „Клеванський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
37;Вікові ялинові насадження;заповідне урочище;;3,9;Костопільський район Костопільське л-во: кв. 26 вид.44;ДП „Костопільський лісгосп”;Рішення облради № 213 від 13.10.93р.;
38;Ялинові насадження;заповідне урочище;;1,5;Костопільський район Мащанське л-во: кв. 5 вид.15;ДП „Костопільський лісгосп”;Рішення облради № 213 від 13.10.93р.;
39;Вікові дубові насадження;заповідне урочище;;19;Костопільський район Грушівське л-тво: кв. 103 вид.19;Костопільське військове лісництво;Рішення облвикон­кому № 98 від 18.06.91р.;
40;Ділянка лісу;заповідне урочище;;7,5;Костопільський район Козлинське л-тво: кв.51 вид.1;Костопільське військове лісництво;Рішення облвикон­кому № 98 від 18.06.91р.;
41;Дубові насадження;заповідне урочище;;8,7;Костопільський район Козлинське л-тво: кв. 5 вид.3;Костопільське військрве лісництво;Рішення облвиконкому № 98 від 18.06.91р.;
42;Урочище “Берещина”;заповідне урочище;;2,7;Млинівський район Вовковиївське л-во: кв. 45 вид. 8, 9;ДП „Млинівський лісгосп”;Рішення облвикон­кому № 98 від 18.06.91р. (зі змінами рішення облради № 1438 від 18.12.2009р.);
43;Урочище “Кароліна”;заповідне урочище;;4,3;Млинівський район Млинівське л-во: кв. 26 вид.11;ДП „Млинівський лісгосп”;Рішення облвиконкому № 98 від 18.06.91р. (зі змінами рішення облради № 1438 від 18.12.2009р.);
44;Урочище “Смордва”;заповідне урочище;;5;Млинівський район Вовковиївське л-во: кв. 55 вид. 2, 3, 5;ДП „Млинівський лісгосп”;Рішення облвикон­кому № 98 від 18.06.91р. (зі змінами рішення облради № 1438 від 18.12.2009р.);
45;Гора Смордва;заповідне урочище;;5;Млинівський район;Смордвівська сільська рада;Рішення облради № 584 від 27.05.05р.;
46;Віковічні дуби;заповідне урочище;;10,2;Острозький район Хорівське л-во: кв. 23 вид.2,  кв. 29 вид.26, кв. 30 вид.2;ДП „Острозький лісгосп”;Рішення облради № 213 від 13.10.93р.;
47;Вікові дубові насадження;заповідне урочище;;48,4;Острозький район Новомалинське л-во: кв.43 вид.2  кв.60 вид.6,7,9;ДП „Острозький лісгосп”;Рішення облради № 213 від 13.10.93р. (зі змінами рішення облради № 322 від 05.03.2004р. та № 584 від 27.05.2005р.;
48;Букові насадження;заповідне урочище;;9;Радивилівський район Радивилівське л-во: кв.119 вид.11, 18, 19;ДП „Дубенський лісгосп”;Рішення облради № 213 від 13.10.93р.;
49;Буковий ліс;заповідне урочище;;7;Радивилівський район Радивилівське л-во: кв.91 вид.5;ДП „Дубенський лісгосп”;Рішення облради № 213 від 13.10.93р.;
50;Соснові насадження;заповідне урочище;;3;Радивилівський район Радивилівське л-во: кв. 11 вид.5;ДП „Дубенський лісгосп”;Рішення облради № 213 від 13.10.93р.;
51;Гора “Цимбал”;заповідне урочище;;9,2;Радивилівський район с.Дружба;Дружбівська сільська рада;Рішення облвикон­кому № 98 від 18.06.91р.;
52;Гора “Красна”;заповідне урочище;;4,5;Радивилівський район кв.96 вид. 1, 2;"ДП СЛАП ""Радивилівський держспецлісгосп""";Рішення облвикон­кому № 98 від 18.06.91р.;
53;Глинсько;заповідне урочище;;1,3;Радивилівський район Радивилівське л-во: кв. 81 вид.12;ДП „Дубенський лісгосп”;Рішення облради № 33 від 28.02.95р.;
54;Сосновий ліс;заповідне урочище;;6,5;Радивилівський район Радивилівське л-во: кв. 63 вид.11;ДП „Дубенський лісгосп”;Рішення облради № 33 від 28.02.95р.;
55;Яценькове озеро;заповідне урочище;;19,8;Радивилівський район Радивилівське л-во: кв. 46 вид.19, 20, кв. 47 вид.6;ДП „Дубенський лісгосп”;Рішення облради № 33 від 28.02.95р.;
56;Олександрійська дача;заповідне урочище;;42;Рівненський район Олександрійське л-во: кв.29 вид.1 ;ДП „Рівненський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
57;Урочище “Жуківське”;заповідне урочище;;4,6;Рівненський район Сморжівське л-во: кв. 3 вид. 2, 7;ДП „Клеванський лісгосп”;Рішення облради № 98 від 18.06.91р.;
