№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;
96;Урочище “Соломка”;заповідне урочище;;220;Рівненський район Олександрійське л-во: кв.27, 32, 36, 37 ;ДП „Рівненський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
97;Мушнянське;заповідне урочище;;19,5;Рокитнівський район Мушнянське л-во: кв. 50 вид. 2, 3, 6;ДП „Остківський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Всього заповідних урочищ;97;;3454,9;;;;
1;Зірненський парк;парк-пам’ятка садово-паркового мистецтва ;;17,2;Березнівський район;Березнівський лісовий коледж;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;Парк “Антонівка”;парк-пам’ятка садово-паркового мистецтва ;;9,7;Володимирецький район;Антонівська сільська рада;Рішення облради № 33 від 28.02.95р.;
3;Тучинський парк;парк-пам’ятка садово-паркового мистецтва ;;10;Гощанський район;Тучинська сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
4;Мізоцький парк;парк-пам’ятка садово-паркового мистецтва ;;15;Здолбунівський район;Мізоцька селищна рада;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
5;Острожецький парк;парк-пам’ятка садово-паркового мистецтва ;;16;Млинівський район;Острожецька сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
6;Млинівський парк;парк-пам’ятка садово-паркового мистецтва ;;25;Млинівський район;Млинівська селищна рада;Рішення облради № 213 від 13.10.93р.;
7;Острозький парк;парк-пам’ятка садово-паркового мистецтва ;;6,6;Острозький район;Острозька міська рада;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
8;Городоцький парк;парк-пам’ятка садово-паркового мистецтва ;;8;Рівненський район;Рівненсько-Острозька єпархія;Рішення облради № 213 від 13.10.93р.;
9;Клеванський парк;парк-пам’ятка садово-паркового мистецтва ;;7;Рівненський район;Клеванська селищна рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
10;Новоставський дендропарк;парк-пам’ятка садово-паркового мистецтва ;;1,5;Рівненський район Новоставське л-во: кв. 39 вид.22;ДП “Клеванський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
11;Олександрійський парк;парк-пам’ятка садово-паркового мистецтва ;;5;Рівненський район;Олександрійська сільська рада;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
12;Великомежирицький парк;парк-пам’ятка садово-паркового мистецтва ;;7;Корецький район;Великомежирицька сільська рада;Рішення облради № 584 від 27.05.05р.;
;Всього парків-пам`яток садово-паркового мистецтва місцевого значення;12;;128;;;;
1;Прип’ять-Стохід;регіональний ландшафтний парк;;21600;Зарічненський район  села  Омит, Нобель, Сенчиці, Локриця, Морочне, Неньковичі;ДП „Зарічненський лісгосп”, Омитська сільська рада, Нобельська сільська рада, Сенчицька сільська рада, Локницька сільська рада, Морочненська сільська рада, Неньковицька сільська рада, СВСК”Селянський ліс”;Рішення облради № 33 від 28.02.1995р.;
2;Надслучанський;регіональний ландшафтний парк;;17271;Березнівський район села Губків, Маринин, Більчаки, Хмелівка;"ДП „Соснівський лісгосп”, СВК “Зоря”, СВК ”Світанок”, СВК ”Хмелівський”, ПГ ”Рівнегаз”, ДП СЛАП ""Березнівський держспецлісгосп""";Рішення облради № 139  від 24.03.2000р.;
3;Дермансько-Мостівський;регіональний ландшафтний парк;;19837;Здолбунівський район села Дермань Перша, Дермань Друга, Нова Мощаниця, Мости, Будераж, Буща, Ступне, Півче, Святе;"СВК ""РК-Хміль"", СВК ""Воля"", Бущанська сільрада, Півчанська сільрада ДП СЛАП ""Здолбунівський держспецлісгосп"" ДП ""Острозький лісгосп""";Рішення облради № 341 від 28.02.2002р.;
;Всього регіональних ландшафтних парків ;3;;58708;;;;
;Всього територій та об`єктів ПЗФ місцевого значення;283;;116572,62;;;;
;Всього територій та об`єктів ПЗФ;310;;181530,22;;;;
