№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;
18.;Джерело № 5 курорту “Немирів”;пам`ятка природи;гідрологічна;0,2;Яворівський р-н, с.м.т. Немирів;адміністрація курорту;1984*;;
19.;Джерело № 6 курорту “Немирів”;пам`ятка природи;гідрологічна;0,2;Яворівський р-н, с.м.т. Немирів;адміністрація курорту;1984*;;
  20.;Джерело мінеральної води;пам`ятка природи;гідрологічна;0,2;Турківський р-н, с. Розлуч;Розлуцька сільська рада;1984*;;
21.;Джерело мінеральної води;пам`ятка природи;гідрологічна;0,3;Турківський р-н, с. Розлуч;Розлуцька сільська рада;1984*;;
  22.;Джерело мінеральної води;пам`ятка природи;гідрологічна;0,3;Турківський р-н, с. Розлуч;Розлуцька сільська рада;1984*;;
23.;Джерело мінеральної води;пам`ятка природи;гідрологічна;0,3;Турківський р-н, с. Карпати;Карпатська сільська рада;1984*;;
24.;Водоспад гірської річки Явірки;пам`ятка природи;гідрологічна;0,5;Турківський р-н, с. Мала Волосянка;Яворівська сільська рада;1984*;;
25.;Свердловина 1-К курорту “Любінь Великий”;пам`ятка природи;гідрологічна;0,25;Городоцький р-н, с.м.т. Любінь Великий;адміністрація курорту;1984*;;
26.;Джерело № 1 “Боніфацій”;пам`ятка природи;гідрологічна;0,65;м. Моршин;Прикарпатська рада курорту;1984*;;
27.;Джерело № 2 “Магдалина”;пам`ятка природи;гідрологічна;0,65;м. Моршин;Прикарпатська рада курорту;1984*;;
28.;Джерело № 3 “Людмила”;пам`ятка природи;гідрологічна;0,65;м. Моршин;Прикарпатська рада курорту;1984*;;
29.;Джерело № 4;пам`ятка природи;гідрологічна;0,36;м. Моршин;Прикарпатська рада курорту;1984*;;
30.;Джерело № 1 “Нафтуся” курорту “Трускавець”;пам`ятка природи;гідрологічна;0,3;м. Трускавець;Трускавецька територіальна курортна рада по управлінню курортами профспілок;1984*;;
31.;Джерело № 6 (колишній “Едвард”) курорту “Трускавець”;пам`ятка природи;гідрологічна;0,3;м. Трускавець;Трускавецька територіальна курортна рада по управлінню курортами профспілок;1984*;;
32.;Джерело № 7 (колишній  “Фердинанд”) курорту “Трускавець”;пам`ятка природи;гідрологічна;0,3;м. Трускавець;Трускавецька територіальна курортна рада по управлінню курортами профспілок;1984*;;
33.;Джерело № 11 (колишня “Юзя”) курорту “Трускавець”;пам`ятка природи;гідрологічна;0,3;м. Трускавець;Трускавецька територіальна курортна рада по управлінню курортами профспілок;1984*;;
;Разом пам`яток природи гідрологічних;33;;11,59;;;;;
1.;Відслонення тортонських пісковиків;пам`ятка природи;геологічна;80;Бродівський р-н, с. Підгірці;селянська спілка с. Підгірці;1984*;;
2.;Ерозійний останець морських рифів Товтрів або Медоборів Сарматського віку в околицях с. Підкамінь;пам`ятка природи;геологічна;0,3;Бродівський р-н, с. Підкамінь; Підкамінська селищна рада;1984*;;
3.;Відклади крейдових порід, відслонених в басейні р.       біля с.м.т. Журавно і Старе Село;пам`ятка природи;геологічна;4;Жидачівський р-н, с.м.т. Журавно;Монастионастирецька сільська рада;1984*;;
4.;Скеля “Великий Камінь”;пам`ятка природи;геологічна;0,1;Золочівський р-н, Словітське л-во, кв. 4 (8);ДП «Золочівський лісгосп»;1984*;;
5.;Відслонення тортонських пісковиків із скупченням викопної тортонської фауни;пам`ятка природи;геологічна;12,1;Миколаївський р-н, с. Тростянець;Димівська сільська рада;1984*;;
6.;Бориславський розріз палеогену;пам`ятка природи;геологічна;2;м. Борислав, лівий берег  р. Тисмениці;Нафтогазодобувне управління “Бориславнафтогаз”;1984*;;
7.;Найбільш продуктивна нафтова свердловина № 298;пам`ятка природи;геологічна;0,03;м. Борислав, вул. Б. Хмельницького, 64;Нафтогазодобувне управління “Бориславнафтогаз”;1984*;;
8.;Скеля з трьома печерами;пам`ятка природи;геологічна;51;Миколаївський р-н, Бориницьке л-во,  кв. 32 (3,4);ДП «Стрийський лісгосп»;1984*;;
9.;Відслонення;пам`ятка природи;геологічна;1;м. Рудки;Рудківська міська рада;1984*;;
10.;Залишки польодовикової морени з викопним торфовищем;пам`ятка природи;геологічна;8,6;Мостиський р-н, с. Крукеничі;Крукеницька сільська рада;1984*;;
11.;Валуни польодовикового періоду;пам`ятка природи;геологічна;0,3;Мостиський р-н, с. Воляновичі;Золоткевицька сільська рада;1984*;;
12.;Печера “Писана криниця”;пам`ятка природи;геологічна;0,1;Сколівський р-н, Волосянське л-во,  кв. 12 (27);ДП «Славський лісгосп»;1984*;;
13.;Скеля “Соколів Камінь” - останець Ямненського пісковика”;пам`ятка природи;геологічна;5,5;Старосамбірський р-н, Спаське л-во,  кв. 24(10);ДП «Старосамбірський лісгосп»;1984*;;
14.;Печера;пам`ятка природи;геологічна;0,3;Турківський р-н, Сможанське л-во,  кв.29 (7);ДП «Славський лісгосп»;1984*;;
15.;Скеля;пам`ятка природи;геологічна;0,5;Турківський р-н, с. В. Висоцьке;В.Висоцька сільська рада;1984*;;
16.;Скеля;пам`ятка природи;геологічна;0,5;Турківський р-н, с.м.т. Бориня;Боринська селищна рада;1984*;;
17.;Кортумова гора;пам`ятка природи;геологічна;21,4;м. Львів;трест зеленого господарства;1984*;;
18.;Медова печера;пам`ятка природи;геологічна;1,2;м. Львів;трест зеленого господарства;1984*;;
19.;Красний Камінь;пам`ятка природи;геологічна;1,7;Сколівський р-н, Верхньосиньовиднівське л-во, кв. 13(1);ДП «Сколівське» ЛГ;Рішення Львівської міської ради від 22.09.2010 р. № 1331;;
;Разом пам`яток природи геологічних;19;;190,63;;;;;
;Всього пам’яток природи місцевого значення ;181;;1768,344;;;;;
                 ;Всього територій та об`єктів ПЗФ місцевого значення ;325;;92926,8873;;;;;
;Всього територій та об`єктів ПЗФ;350;;157478,1873;;;;;
