№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;
5;Синичівське;заповідне урочище;;16;Бродівський р-н, Заболотцівське л-во,  кв. 69 (28);ДП «Бродівський лісгосп»;1984*;;
6;Заболотцівське;заповідне урочище;;46,2;Бродівський р-н, Заболотцівське л-во,  кв. 94 (1,2,6);ДП «Бродівський лісгосп»;1984*;;
7;Лагодівське;заповідне урочище;;6,2;Бродівський р-н,  Лагодівське л-во,  кв. 73 (4);ДП «Бродівський лісгосп»;1984*;;
8;Піски;заповідне урочище;;46,2;Бродівський р-н,  Лешнівське л-во,  кв. 48 (1,2,13);ДП «Бродівський лісгосп»;1984*;;
9;Підбуж;заповідне урочище;;99,6;Дрогобицький р-н, Підбузьке л-во,  кв. 17 (2,9),  кв. 18 (1,2);ДП «Самбірський лісгосп»;1984*;;
10;Майдан;заповідне урочище;;17;Жовківський р-н,  Жовківське л-во,  кв. 44 (3);ДП «Жовківський лісгосп»;1984*;;
11;Борове;заповідне урочище;;25;Сокальський р-н,  Великомостівське л-во, кв. 16 (5,16);ДП «Жовківський лісгосп»;1984*;;
12;Великомостівське;заповідне урочище;;27;Сокальський р-н,  Великомостівське л-во, кв. 20 (4);ДП «Жовківський лісгосп»;1984*;;
13;Журі;заповідне урочище;;29;Жовківський р-н,  В_язівське л-во,  кв. 45 (11);ДП «Жовківський лісгосп»;1984*;;
14;Ліс під Трудовачем;заповідне урочище;;33;Золочівський р-н,  Словітське л-во,  кв. 18 (2);ДП «Золочівський лісгосп»;1984*;;
15;Ліс в околицях Верхобужжя;заповідне урочище;;59;Золочівський р-н,  Сасівське л-во,  кв. 51 (3,4),  кв. 52 (6);ДП «Золочівський лісгосп»;1984*;;
16;Модринове насадження;заповідне урочище;;5,7;Пустомитівський р-н, Товщівське л-во.  кв. 42 (2,3);ДП «Львівський лісгосп»;1984*;;
17;Грицеволя;заповідне урочище;;33;Радехівський р-н, Лопатинське л-во,  кв. 66 (7);ДП «Радехівський лісгосп»;1984*;;
18;Топорівське;заповідне урочище;;95,9;Радехівський р-н, Нивицьке л-во,  кв. 31,32  ;ДП «Радехівський лісгосп»;1984*;;
19;Кремінь;заповідне урочище;;324,5;Сколівський р-н, Тухлянське л-во,  кв. 1,5;ДП «Славський лісгосп»;Рішення виконкому Львівської обласної ради від 07.11.91 р. №34;;
20;Головецьке;заповідне урочище;;7,8;Сколівський р-н, Головецьке  л-во,  кв. 16 (18);ДП «Славський лісгосп»;1984*;;
21;Димківці;заповідне урочище;;9,4;Сколівський р-н, Тухлянське  л-во,  кв. 28 (1,3)  ;ДП «Славський лісгосп»;1984*;;
22;Рожанське;заповідне урочище;;3,6;Сколівський р-н, Рожанське  л-во, кв. 23 (3);ДП «Славський лісгосп»;1984*;;
23;Тухлянське;заповідне урочище;;18;Сколівський р-н, Тухлянське  л-во,  кв. 1 (8);ДП «Славський лісгосп»;1984*;;
24;Дубинське;заповідне урочище;;605;"Сколівський р-н, Дубинське  л-во,  кв. 7, 10 (9, 22);  кв. 12, 22, 23;";ДП «Сколівський лісгосп»;1984*;;
25;Міженець;заповідне урочище;;8,7;"Старосамбірський р-н,  Міженецьке л-во,  кв. 10 (9, 10);";ДП «Старосамбірський лісгосп»;1984*;;
26;Скельний дуб;заповідне урочище;;16;Старосамбірський р-н,  Добромильське л-во,  кв. 10 (2);ДП «Старосамбірський лісгосп»;1984*;;
27;Тарнавка;заповідне урочище;;6,8;"Старосамбірський р-н,  Сусідовицьке л-во,  кв. 22 (21);";ДП «Старосамбірський лісгосп»;1984*;;
28;Розгірче;заповідне урочище;;205,7;Стрийський р-н,  Любинцівське л-во,  кв. 25 (8, 10, 11),  кв.  26 (2-6, 10);ДП «Сколівський лісгосп»;1984*;;
29;Борок;заповідне урочище;;34;Сокальський р-н, Сокальське л-во,  кв. 40 (3),  кв. 43 (2);ДП «Радехівський лісгосп»;1984*;;
30;Катина;заповідне урочище;;53;Старосамбірський р-н,  Старявське  л-во,  кв. 3 (2);ДП «Старосамбірський лісгосп»;1984*;;
31;Красне;заповідне урочище;;20;Турківський р-н,  Мохнатське л-во,  кв. 8 (3,4);ДП «Боринський лісгосп»;1984*;;
32;Семегинів;заповідне урочище;;12,7;Стрийський р-н,  Любинцівське л-во,  кв. 14 (5, 7, 9, 10);ДП «Сколівський лісгосп»;1984*;;
33;Ялина;заповідне урочище;;6,3;Турківський р-н,  Либохорівське л-во,  кв. 41 (1);ДП «Боринський лісгосп»;1984*;;
34;Немирів;заповідне урочище;;276;Яворівський р-н,  Немирівське л-во,  кв. 21, 22, 27, 28;ДП «Рава-Руський лісгосп»;1984*;;
35;Йосиповичі;заповідне урочище;;40;Стрийський р-н,  Лотатницьке  л-во,  кв. 2  (1, 6);ДП «Стрийський лісгосп»;1984*;;
36;Роздільське;заповідне урочище;;171;Миколаївський р-н,  Роздільське л-во, кв. 22 (5),  кв. 23 (1, 6),  кв. 26 (1, 3),  кв. 28 (1, 5, 6);ДП «Стрийський лісгосп»;1984*;;
37;Березовий гай;заповідне урочище;;33,2;Стрийський р-н,  Лотатницьке л-во,  кв. 27, 28;ДП «Стрийський лісгосп»;1984*;;
38;Сигла;заповідне урочище;;25;Турківський р-н,  Мохнатське л-во,  кв. 9 (1);ДП «Боринський лісгосп»;1984*;;
39;Лази;заповідне урочище;;430;Дрогобицький р-н,  с. Болехівці, с. Верхні Гаї;СПП “Відродження” КСП “Верховина”;Розпорядження голови Львівської облдержадміністрації від 22.12.95 №1123;;
40;Маківка;заповідне урочище;;397;Сколівський р-н,  Головецьке л-во,  кв. 6,7,13,14;ДП «Славський лісгосп»;1984*;;
41;Обнога;заповідне урочище;;314;Сколівський р-н,  Рожанське л-во,  кв. 41,42;ДП «Славський лісгосп»;1984*;;
42;Довжки;заповідне урочище;;325;Сколівський р-н,  Сможанське л-во,  кв. 24,25;ДП «Славський лісгосп»;1984*;;
43;Хітар;заповідне урочище;;394;Сколівський р-н,  Верхнячківське л-во,  кв. 6-8;ДП «Славський лісгосп»;1984*;;
44;Гаї;заповідне урочище;;1323;"Сколівський р-н,  Сможанське л-во,  кв. 2-3,21-23;  Климецьке л-во, кв. 1-6  ";ДП «Славський лісгосп»;1984*;;
45;Бескид;заповідне урочище;;251;Сколівський р-н,  Климецьке л-во,  кв. 21,25;ДП «Славський лісгосп»;1984*;;
