№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
46;«Алея письменників»;пам’ятка природи;ботанічна;0,2;"Кролевецький р-н:  Ленінська с/р; на подвір’ї школи в с. Ленінське";Ленінська загальноосвітня школаІ-ІІІ ступенів;Рішення облради від 27.06.2008 р.
47;«Дуб Суханових»;пам’ятка природи;ботанічна;0,04;Сумський р-н:  Новосуханівська с/р, с. Новосуханівка;Новосуханівська сільська рада;Рішення облради від 09.07.2009 р.
48;«Глибока»;пам’ятка природи;ботанічна;5,9;"Краснопільський р-н:  Угроїдська селищ./р; схили яру за західною околицею смт. Угроїди";Угроїдська селищна рада;Рішення облради від 15.10.2010 р.
49;«Парк Харитоненків»;пам’ятка природи;ботанічна;6,8;"Краснопільський р-н:  Угроїдська селищ./р; в північно-східній частині смт. Угроїди; ДП ""Краснопільський агролісгосп"": кв. 58 (вид. 4)";1. Угроїдська селищна рада2. ДП «Краснопільський агролісгосп»;Рішення облради від 15.10.2010 р.
50;«Ракіта»;пам’ятка природи;ботанічна;21;"Кролевецький р-н:  Ярославецька с/р; за південно-західною околицею с. Ярославець";Кролевецька райдержалміністрація;Рішення облради від 18.11.2011 р.
51;"""Дуб-Велетень""";пам’ятка природи;ботанічна;0,01;;;Рішення сесії облради від 22.02.2013 р.
52;"""Дуб-Король""";пам’ятка природи;ботанічна;0,03;;;Рішення сесії облради від 22.02.2013 р.
;Разом пам’яток природи ботанічних;52;;56,7641;;;
1;«Джерело Вакалівське»;пам’ятка природи;гідрологічна;1;"Сумський р-н:  Кияницька с/р; На північ від с.Вакалівщина.ДП ""Сумський лісгосп"": Піщанське л-во, кв. 123 (діл. 17, 25)";ДП «Сумське лісове господарство»;Рішення облвиконкому від 20.06.1972 р.№ 306
2;«Сім джерел»;пам’ятка природи;гідрологічна;0,5;"Глухівський р-н: Шалигинська селищ./р; поблизу південно-східної околиці смт.Шалигине, у підніжжя лівого корінного берега р. Лапуга. ДП ""Глухівський агролісгосп"": кв. 149 (вид. 39)";ДП «Глухівський агролісгосп»;Рішення облвиконкому від 27.09.1973 р.№ 504
3;«Джерело біля с.Рогинці»;пам’ятка природи;гідрологічна;0,02;Роменський р-н:  Рогинська с/р, поблизу північної межі території сільради, на днищі балки, що впадає у верхів’я р. Хмелівка;Рогинська сільська рада;Рішення облвиконкому від 27.09.1973 р.№ 504, рішення облради від 19.10.2000 р.
4;«Джерела в с.Гришине»;пам’ятка природи;гідрологічна;0,02;"Роменський р-н: Гришинська с/р; в південній околиці с. Гришине.ДП ""Роменський агролісгосп"": Роменське л-во, кв. 112 (вид. 38)";ДП «Роменський агролісгосп»;Рішення облвиконкому від 27.09.1973 р.№ 504, рішення облради від 19.10.2000 р.
5;«Джерело біля с.М.Бубни»;пам’ятка природи;гідрологічна;0,02;"Роменський р-н:  Малобубнівська с/р; між селами Малі Бібни - Бацмани";Малобубнівська сільська рада;Рішення облвиконкому від 27.09.1973 р.№ 504, рішення облради від 19.10.2000 р.
6;«Джерела біля с.Артюхівка»;пам’ятка природи;гідрологічна;0,02;"Роменський р-н:  Артюхівська с/р; ДП ""Роменський агролісгосп"": Андріяшівське л-во, кв. 144 (вид. 43, 44)";ДП «Роменський агролісгосп»;Рішення облвиконкому від 27.09.1973 р.№ 504, рішення облради від 19.10.2000 р.
7;«Великосамбірська криниця»;пам’ятка природи;гідрологічна;1;"Конотопський р-н:  Великосамбірська с/р; на південь від с. Великий Самбір. ДП ""Конотопський агролісгосп"": кв. 76 (вид. 25)";ДП «Конотопський агролісгосп»;Рішення облради від 04.08.2006 р.
8;«Синя криниця»;пам’ятка природи;гідрологічна;0,8;"Ямпільський р-н: Свеська селищ./р; поряд з смт. Свеса. ДП ""Свеський лісгосп"": Свеське л-во, кв. 80 (вид. 14)";ДП «Свеське лісове господарство»;Рішення облвиконкому від 15.04.1975 р. № 219, рішення облради від 26.05.2004 р.
9;«Ходинські джерела»;пам’ятка природи;гідрологічна;0,05;"Глухівський р-н: Ходинська с/р; в с.Ходине";Ходинська сільська рада;Рішення облвиконкому від 27.09.1973 р. № 504, рішення облради від 19.10.2000 р.
10;«Сварківські джерела»;пам’ятка природи;гідрологічна;0,8;"Глухівський р-н: Сварківська с/р; на околиці с.Сваркове";Сварківська сільська рада;Рішення облвиконкому від 27.07.1977 р.№ 429, рішення облради від 19.10.2000 р.
11;«Заруцькі джерела»;пам’ятка природи;гідрологічна;0,8;"Глухівський р-н: Білокопитівська с/р; на околиці с.Заруцьке";Білокопитівська сільська рада;Рішення облвиконкому від 27.07.1977 р.№ 429, рішення облради від 19.10.2000 р.
12;«Джерело біля с.Вікторове»;пам’ятка природи;гідрологічна;0,02;"Глухівський р-н: Уздицька с/р; біля квартала 31 Баничського лісництва";Уздицька сільська рада;Рішення облвиконкому від 27.07.1977 р.№ 429, рішення облради від 19.10.2000 р.
13;«Джерело»;пам’ятка природи;гідрологічна;0,05;"Глухівський р-н: Привільська с/р; ДП ""Глухівський лісгосп"", Слоутське л-во, кв. 50 (вид. 30)";ДП «Глухівське лісове господарство»;Рішення облвиконкому від 27.07.1977 р.№ 429
14;«Панська криниця»;пам’ятка природи;гідрологічна;1;"С.-Будський р-н:  Очкинська с/р; с.Очкине";Очкинська сільська рада;Рішення облради від 04.03.1999
15;«Озеро Журавлине»;пам’ятка природи;гідрологічна;1,9;"Сумський р-н:  Верхньосироватська с/р; 1,5 км на схід від с. Стінки. ДП ""Сумський агролісгосп"": кв. 30 (вид. 10)";1. Верхньосироватська сільська рада2. ДП «Сумський агролісгосп»;Рішення облвиконкому від 23.12.1981 р.№ 609
16;«Джерело-криниця»;пам’ятка природи;гідрологічна;0,06;"Кролевецький р-н:  Бистрицька с/р; поряд з автодорогою Київ - Москва. ДП ""Кролевецьке лісомисливське господарство"": Гружчанське л-во, кв. 34 (вид. 8)";ДП «Кролевецьке лісомисливське господарство»;Рішення облвиконкому від 22.12.1982 р.№ 494
17;«Джерело в с.Руднєве»;пам’ятка природи;гідрологічна;0,04;"Путивльський р-н: Руднєвська с/р; в с. Руднєве";Руднєвська сільська рада;Рішення облвиконкому від 21.12.1983 р.№ 407, рішення облради від 26.05.2004 р.
18;«Джерело Барвінкове-1»;пам’ятка природи;гідрологічна;0,02;"Сумський р-н: Червоненська с/р; урочище ""Мамаєвщина"", біля с. Барвінкове. ДП ""Сумський лісгосп"": Низівське л-во, кв. 79 (діл. 12)**";ДП «Сумське лісове господарство»;Рішення облвиконкому від 21.12.1983 р.№ 407, рішення облради від 19.10.2000 р.
19;«Джерело Барвінкове-2»;пам’ятка природи;гідрологічна;0,02;"Сумський р-н: Червоненська с/р; урочище ""Мамаєвщина"", біля с. Барвінкове. ДП ""Сумський лісгосп"": Низівське л-во, кв. 79 (діл. 8)**";ДП «Сумське лісове господарство»;Рішення облвиконкому від 21.12.1983 р.№ 407, рішення облради від 19.10.2000 р.
20;«Джерело»;пам’ятка природи;гідрологічна;0,02;"Охтирський р-н: Чернеччинська с/р; ДП ""Охтирський лісгосп"": Охтирське л-во, кв. 71 (діл. 30)";ДП «Охтирське лісове господарство»;Рішення облвиконкому від 22.11.1984 р.№ 334
21;«Джерело в ур.Цемкалка»;пам’ятка природи;гідрологічна;0,02;"Роменський р-н: Хоминцівська с/р; на північ відс.Вощилиха. ДП ""Роменський лісгосп"": Томашівське л-во, кв. 12 (діл. 12)**";ДП «Роменське лісове господарство»;Рішення облвиконкому від 10.12.1990 р.№ 227, рішення облради від 19.10.2000 р.
22;«Криниця біля с.Антоненкове»;пам’ятка природи;гідрологічна;0,01;"Л.-Долинський р-н: Саївська с/р; над ставком. ДП ""Л.-Долинський агролісгосп"": кв. 5 (вид. 23)";ДП «Л.-Долинський агролісгосп»;Розпорядження Представника Президента по Сумській області від 28.12.1995 № 347, рішення облради від 19.10.2000 р.
23;«Джерело в ур. Будилок»;пам’ятка природи;гідрологічна;0,02;"Недригайлівський р-н: Зеленківська с/р; ДП ""Недригайлівський агролісгосп"": кв. 86 (вид. 3)";ДП «Недригайлівський агролісгосп»;Розпорядження Представника Президента по Сумській області від 28.12.1995 № 347
24;«Спадщанське озеро»;пам’ятка природи;гідрологічна;15,3;Путивльський р-н: Сафонівська с/р, в с. Спадщина;Сафонівська сільська рада;Рішення облвиконкому від 15.04.1975 р. № 219, рішення облради від 19.10.2000 р.
25;«Озеро Червоне»;пам’ятка природи;гідрологічна;30,9;Путивльський р-н: Червоноозерська с/р, в селі Червоне Озеро;Червоноозерська сільська рада;Рішення облвиконкому від 23.12.1981 р. № 609, рішення облради від 19.10.2000 р.
26;«Туранівська криниця»;пам’ятка природи;гідрологічна;0,02;"Ямпільський р-н: Воздвиженська с/р; неподалік від с.Туранівка. ДП ""Ямпільський агролісгосп"": кв. 101 (вид. 52)";ДП «Ямпільський агролісгосп»;Рішення облради від 04.03.1999 р.
27;«Річківська криниця»;пам’ятка природи;гідрологічна;0,03;Білопільський р-н: Річківська с/р, с. Річки;Річківська сільська рада;Рішення облради від 27.04.2001 р.
28;«Джерело кремньове»;пам’ятка природи;гідрологічна;0,02;"В.-Писарівський р-н: Добрянська с/р; ДП ""Охтирський лісгосп"": В.-Писарівське л-во, кв. 53 (діл. 10)**";ДП «Охтирське лісове господарство»;Рішення облради від 28.01.2003 р.
29;«Криничка» ;пам’ятка природи;гідрологічна;0,02;"В.-Писарівський р-н: Ямненська с/р; ДП ""В.-Писарівський агролісгосп"": кв. 47 (вид. 18)";Гетьманський національний природний парк;Рішення облради від 28.01.2003 р.
30;«Гайдукова криниця»;пам’ятка природи;гідрологічна;0,02;Буринський р-н: м. Буринь, поблизу вул. Кірова;Буринська міська рада;Рішення облради від 16.09.2004 р.
31;«Чернеччі джерела»;пам’ятка природи;гідрологічна;5,2225;"м. Глухів; північно-західна околиця";Глухівська міська рада;Рішення облради від 16.09.2004 р.та від 27.06.2008 р.
32;«Ведмедівська криниця»;пам’ятка природи;гідрологічна;7,6;"Кролевецький р-н: Ярославецька с/р; ДП ""Кролевецький агролісгосп"": кв. 34 (вид. 35)";1. Ярославецька сільська рада2. ДП «Кролевецький агролісгосп»;Рішення облради від 01.12.2006 р.
33;«Криниця Д.Г.Голодного»;пам’ятка природи;гідрологічна;0,6;"Л.-Долинський р-н: Семенівська с/р; ДП ""Л.-Долинський агролісгосп"": кв. 3 (вид. 23)";ДП «Л.-Долинський агролісгосп»;Рішення облради від 04.08.2006 р.
34;«Криниця графа Капніста»;пам’ятка природи;гідрологічна;1;"Лебединський р-н: Михайлівська с/р; лісовий масив на захід від с. Михайлівка. ДП ""Лебединський лісгосп"": Лебединське л-во, кв. 16 (діл. 10)**";ДП «Лебединське лісове господарство»;Рішення облради від 27.07.2007 р.
35;«Джерела Г.М.Юнака»;пам’ятка природи;гідрологічна;0,72;"Сумський р-н: Степанівська селищ./р; в смт. Степанівка";Степанівська селищна рада;Рішення облради від 09.07.2009 р.
;Разом пам’яток природи гідрологічних ;35;;69,6625;;;
1;«Відслонення пісків Полтавського ярусу»;пам’ятка природи;геологічна;5;"Лебединський р-н: Михайлівська с/р; на схилі вище с.Михайлівка";Михайлівська сільська рада;Рішення облвиконкому від 20.06.1972 р.№ 305, рішення облради від 26.05.2004 р.
2;«Шпилі Полтавського ярусу»;пам’ятка природи;геологічна;6,6384;"Сумський р-н: Шпилівська с/р; на схилі балки вище с. Шпилівка";Шпилівська сільська рада;Рішення облвиконкому від 20.06.1972 р.№ 305, рішення облради від 26.05.2004 р.
3;«Попів камінь»;пам’ятка природи;геологічна;1;"Л.-Долинський р-н: Беївська с/р; околиці с. Беєве. ДП ""Л.-Долинський агролісгосп"": кв. 15 (вид. 47-49)";ДП «Л.-Долинський агролісгосп»;Рішення облради від 04.08.2006 р.
4;«Спаські валуни»;пам’ятка природи;геологічна;0,1;"Кролевецький р-н: Ленінська с/р; садиба філії станції юних натуралістів в с. Леніське";Ленінська сільська рада;Рішення облради від 27.06.2008 р.
5;«Хоружівські валуни»;пам’ятка природи;геологічна;0,1;Недригайлівський р-н: Хоружівська с/р, с.Хоружівка;Хоружівська сільська рада;Рішення облради від 09.07.2009 р.
;Разом пам’яток природи геологічних;5;;12,8384;;;
