№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
;«Урочище «Сумарин»;заказник;лісовий;185;"Богородчанський район, Яблунське лісництво, кв. 17, вид. 1-7; кв. 18, вид. 1-5; кв. 20, вид. 1-2; кв. 21, вид. 1-6; кв. 22, вид. 1-2; кв. 24, вид. 1-16; кв. 23, вид.1-7";ДП «Солотвинський держлісгосп»;Рішення обласної ради від 12.03.04 р.   № 350-10/2004
;«Марино»;заказник;лісовий;763;Долинський район, Церківнянське лісництво,  кв.37-39, 43-47;ДП «Болехівський держлісгосп»;Рішення обласної ради від 28.12.99 р.  № 237-11/99
;«Ільма»;заказник;лісовий;3294;Долинський район, Ілем’янське лісництво, кв. 1-23;ДП «Вигодський держлісгосп»;Рішення облвиконкому від 16.10.84 р. № 247
;«Страгора»;заказник;лісовий;840;Надвірнянський район, Надвірнянське лісництво, кв.46-51;ДП «Надвірнянський держлісгосп»;Рішення облвиконкому від 16.09.80 р. № 335
;«Красна»;заказник;лісовий;510;Надвірнянський район, Надвірнянське лісництво, кв.30-37;ДП «Надвірнянський держлісгосп»;Рішення облвиконкому від 16.09.80 р. № 335
;«Потоки»;заказник;лісовий;153,3;Надвірнянський район, Надвірнянське лісництво, кв.2, вид. 1-23, кв.3, вид.1-13, кв.5, вид.1-6, кв.6, вид.4, 6-8, 10, 10-16;ДП «Надвірнянський держлісгосп»;Розпорядження облдержадміністрації від 15.07.96 р., зміни у площі згідно рішення обласної ради від 14.09.2004 р. № 445-12/2004 “Про зміну меж територій та об’єктів природно – заповідного фонду області”
;«Журавенків-ський»;заказник;лісовий;48;Рогатинський район, Букачівське лісництво, кв.28, вид. 1, 2;ДП «Рогатинський держлісгосп»;Розпорядження ОДА від 15.07.1996 р. № 451
;«Журитин»;заказник;лісовий;50,9;Рогатинський район, Пуківське лісництво, кв.2, вид. 7-10;ДП «Рогатинський держлісгосп»;Розпорядження облдержадміністрації   від 15.07.96 р. № 451
;«Каменець»;заказник;лісовий;184;Косівський район,  Кутське лісництво, кв. 24;ДП «Кутське лісове господарство»;Розпорядження облдержадміністрації   від 15.07.96 р. № 451
;«Терношори»;заказник;лісовий;10;Косівський район,  Яворівське лісництво, кв. 26  ;Косівський міжгосподарський лсгосп;Розпорядження облдержадміністрації   від 15.07.96 р. № 451
