№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
7.                    ;Буцький каньйон;пам`ятка природи;комплексна;0,8;Маньківський район, околиця смт. Буки на р.Гірський Тікич (800 м нижче греблі ГЕС);Буцька сільська рада;Ріш. ОВК від 13.05.75 р. № 288
8.                    ;Долина Миколи Чудотворця;пам`ятка природи;комплексна;10,9;В адмінмежах Коржовокутської сільської ради Уманського району;Коржовокутська сільська рада;Ріш. Обл. ради від 28.08.09 р. № 28-8/V
9.                    ;Урочище«Сухі колодки»;пам`ятка природи;комплексна;162,5776;В адмінмежах Стецівської сільської ради Чигиринського району;Національний історико-культурний заповідник «Чигирин»;Ріш. Обл. ради від 26.12.08 № 23-13/V
9.;Разом пам`яток природи комплексних;9;;238,0746;;;
184.;Разом пам’яток природи місцевого значення;186;;719,925;;;
1.                    ;Вергунове;заповідне урочище;;86,1;Городищенський район, с.Хлистунівка;Хлистунівська сільська рада;Ріш. Обл. ради від 08.04.00 р. № 15-4
2.                    ;“Довжик”;заповідне урочище;;19,8;Городищенський район, с.Ксаверове;Ксаверівська сільська рада;Ріш. Обл. ради від 23.12.98 р. № 5-3
3.                    ;“Монастирок”;заповідне урочище;;2,5;2-й км на схід від м. Городище;КСП ім.Т.Г.Шевченко;Ріш. ОВК від 13.05.75 р. № 288
4.                    ;“Хвилинка”;заповідне урочище;;73,8;Східна околиця м.Городище;"ДП "" Смілянське лісове господарство""";Ріш. ОВК від 26.06.72 р. № 367
5.                    ;“Цареві яри”;заповідне урочище;;50;м. Городище;КСП ім.Т.Г.Шевченко;Ріш. Обл. ради від 23.12.98 р. № 5-3
6.                    ;“Комарів яр”;заповідне урочище;;10,4;Звенигородський район, с.Боровикове;Боровиківська сільська рада;Ріш. Обл. ради від 23.12.98 р. № 5-3
7.                    ;Бакаївське;заповідне урочище;;367;Золотоніський район, х. Бакаївка;Красногірський монастир, Бакаївська допоміжна школа;Ріш. ОВК від 19.03.76 р. №177
8.                    ;Згар-Гришківське;заповідне урочище;;94;Золотоніський район, Пн околиця х.Згарь;ВАТ ПЗДГ “Золотоніське”;Ріш. ОВК від 27.06.72 р. № 367
9.                    ;Макортить;заповідне урочище;;15,2;В адмінмежах Райгородської сільської радиКам’янського району;Райгородська сільська рада;Ріш. Обл. ради від 07.08.08.р. № 20-16/V
10.                ;Великі валки;заповідне урочище;;3;Канівський район, кв. 3 Григорівського л-ва, Пн-Сх околиця с.Трахтемирів;Григорівська сільська рада”;Ріш. ОВК від 28.11.79 р. № 597
11.                ;“Гайдамацьке”;заповідне урочище;;18;Канівський район,с. Поташня Канівський район;Таганчанська сільська рада;ріш. обл. ради від 03.07.02 № 2-8
