№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
61.;Катальпа;пам`ятка природи;ботанічна;0,05;Зростає в м. Кам’янець-Подільському по вул.. Суворова, 2.;Харчовий технікум;Розпорядженням облвиконкому від 11.06.1970 р. № 156-р”б”
62.;Біота східна(Ф.пірамідальна);пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул.. Суворова, 2.;Харчовий технікум ;Розпорядженням облвиконкому від 11.06.1970 р. № 156-р”б”
63.;Клен Гінала;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул.. Суворова, 2 на території садиби харчового технікуму.;Харчовий технікум;Розпорядженням облвиконкому від 11.06.1970 р. № 156-р”б”
64.;Липа войлочна;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Соборна, 1. ;Харчовий технікум;Розпорядженням облвиконкому від 11.06.1970 р. № 156-р”б”
65.;Липа крупнолиста;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Соборній, 1.;Харчовий технікум;Розпорядженням облвиконкому від 11.06.1970 р. № 156-р”б”
66.;Софора японська;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Соборній, 1.;Харчовий технікум;Розпорядженням облвиконкому від 11.06.1970 р. № 156-р”б”
67.;Клен сріблястий;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Соборній, 1.;Харчовий технікум;Розпорядженням облвиконкому від 11.06.1970 р. № 156-р”б”
68.;Катальпа японська;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Соборній, 1.;Харчовий технікум;Розпорядженням облвиконкому від 11.06.1970 р. № 156-р”б”
69.;Біогрупа екзотичних дерев;пам`ятка природи;ботанічна;0,5;Зростає в м. Кам’янець-Подільському по вул. Шевченка, 26;КП „Кам’янецький парк;Розпорядженням облвиконкому від 11.06.1970 р. № 156-р”б”
70.;Сквер;пам`ятка природи;ботанічна;1,1;Розташований в м. Кам’янець-Подільському по вул. Шевченка,19;Подільська державна агррарно-технічна академія;Розпорядженням облвиконкому від 22.10.1969 р. № 358-р
71.;Туя західна;пам`ятка природи;ботанічна;0,4;Зростає в м. Кам’янець-Подільському по вул. Шевченка, 33;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
72.;Ялина колюча(ф. сиза);пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Л. Українки, 91;Школа-інтернат № 2”;Розпорядження облвиконкому від 11.06.1970 р. № 156-р”б”
73.;Айлант високий;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Л. Українки, 83;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
74.;Ялина колюча(ф. сиза);пам`ятка природи;ботанічна;0,1;Зростає в м. Кам’янець-Подільському по вул. Шевченка, 26;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
75.;Ялина колюча(ф. сиза);пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Л. Українки, 83;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
76.;Липа войлочна;пам`ятка природи;ботанічна;0,02;Зростає в м. Кам’янець-Подільському по вул. Гагенмейстера, 1. ;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
77.;Сосна чорна;пам`ятка природи;ботанічна;0,02;Зростає в м. Кам’янець-Подільському по вул. Панівецькій, 1.;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
78.;Біота західна;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Панівецькій, 1.;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
79.;Ялина колюча;пам`ятка природи;ботанічна;0,02;Зростає в м. Кам’янець-Подільському по вул. Шевченка, 30;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
80.;Ялина колюча;пам`ятка природи;ботанічна;0,03;Зростає в м. Кам’янець-Подільському по вул. Хмельницьке шосе, 22;Електро-механічний завод;Рішенням облвиконкому від 21.11.1984 р. № 242
81.;Ялина колюча;пам`ятка природи;ботанічна;0,5;Зростає в м. Кам’янець-Подільському по вул. Голосківське шосе, 1;Спецкар’єр;Рішенням облвиконкому від 21.11.1984 р. № 242
82.;Ялина колюча;пам`ятка природи;ботанічна;0,4;Зростає в м. Кам’янець-Подільському по вул. Соборній, 7;Відділення зв’язку;Рішенням облвиконкому від 21.11.1984 р. № 242
83.;Клен гостролистий(ф. шаровидна);пам`ятка природи;ботанічна;0,03;Зростає в м. Кам’янець-Подільському по вул. Соборній, 7;Відділення зв’язку;Рішенням облвиконкому від 21.11.1984 р. № 242
84.;Тис ягідний;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Л. Українки, 52;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
85.;Біогрупа;пам`ятка природи;ботанічна;1;Зростає в м. Кам’янець-Подільському на майдані Відродження.;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
86.;Ялина колюча(ф. сиза);пам`ятка природи;ботанічна;0,02;Зростає в м. Кам’янець-Подільському по вул. Шевченка в сквері „Молодіжному”;КП „Кам’янецький парк”;Рішенням облвиконкому від 16.10.1991 р. № 171
87.;Тис ягідний;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Шевченка в сквері „Молодіжному”;КП „Кам’янецький парк”;Рішенням облвиконкому від 16.10.1991 р. № 171
88.;Дуб чершчатий;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Шевченка, 18.;КП „Кам’янецький парк”;Рішенням облвиконкому від 16.10.1991 р. № 171
89.;Дуб чершчатий;пам`ятка природи;ботанічна;0,3;Зростає в м. Кам’янець-Подільському по вул. Л. Українки, 29.;КП „Кам’янецький парк”;Рішенням облвиконкому від 16.10.1991 р. № 171
90.;Ялина колюча;пам`ятка природи;ботанічна;0,02;Зростає в м. Кам’янець-Подільському по вул. Уральській в сквері „Водойма”;КП „Кам’янецький парк”;Рішенням облвиконкому від 16.10.1991 р. № 171
91.;Туя західна;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Шевченка в сквері „Молодіжному”;КП „Кам’янецький парк”;Рішенням облвиконкому від 16.10.1991 р. № 171
92.;Сосна чорна;пам`ятка природи;ботанічна;0,01;Зростає в м. Кам’янець-Подільському по вул. Шевченка в сквері „Молодіжному”;КП „Кам’янецький парк”;Рішенням облвиконкому від 16.10.1991 р. № 171
93.;Біогрупа;пам`ятка природи;ботанічна;0,8;Зростає в м. Кам’янець-Подільському по вул. Соборній, 2.;КП „Кам’янецький парк”;Рішенням облвиконкому від 21.11.1984 р. № 242
94.;Біогрупа;пам`ятка природи;ботанічна;0,3;Зростає в м. Кам’янець-Подільському по вул. Огієнка, 91;Державний педуніверситет;Рішенням облвиконкому від 16.10.1991 р. № 171
95.;Біогрупа;пам`ятка природи;ботанічна;0,35;Зростає в м. Кам’янець-Подільському по вул. Шевченка, 12. ;КП „Кам’янецький парк”;Розпорядженням голови ОДА від 28.11.1995 р. № 67-р.
