№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;
 17.;«Лунг» ;заказник;ландшафтний;1452,85;Ізмаїльський р-н, в межах Старонекрасівської, Багатянської, Кислицької сільських рад ;АРК«Придунайська нива» ;Рішення облради  від 09.02.01 р.                   № 263-ХШ, від  29.12.04 р. № 551-ІУ ;;;;;
18.;«Лузанівський ліс»;заказник;ландшафтний;116,668;Комінтернівський р-н, Крижанівська і Фонтанська сільські ради, Красносільське лісництво;ДП «Одеське лісове господарство»;Рішення облради від 06.06.08 р. № 541-У;;;;;
19. ;«Баранівський ліс»;заказник;ландшафтний;163;м. Ізмаїл, Ізмаїльське лісництво,                кв. 13-17, ур. «Баранівка»;ДП «Ізмаїльське лісове господарство»;Рішення облради від 20.03.2009 р. №799-V;;;;;
20.;«Чогодарівський»;заказник;ландшафтний;46,6;Ширяївський р-н, с. Чогодарівка;ДП «Ширяївське лісове господарство» ;Рішення облвиконкому від 03.12.83 р.            № 682, облради від 14.11.2008 р. № 665-V;;;;;
21;"""Тарутинський степ""";заказник;ландшафтний;5200;Тарутинський р-н;Веселодолинська сільська рада;Рішення облради від 26.04.2012 р. №445-VI ;;;;;
22;"""Селіванівський""";заказник;ландшафтний;80;Ананьївський р-н;"ДП ""Ананьївське ЛГ""";Рішення облради від 09.11.2012 №631-VI;;;;;
;Разом заказників ландшафтних;22;;12480,518;;;;;;;;
1;«Жовтневий» ;заказник;ентомологічний;15;Болградський р-н, Жовтнева сільська рада ;Жовтнева сільська рада ;Рішення облвиконкому від 03.12.83 р.              № 682 ;;;;;
2;«Коритнівський» ;заказник;ентомологічний;25;Балтський р-н, біля с.  Коритнівка, ;Планується до скасування;Рішення облвиконкому від 03.12.83 р.             № 682 ;;;;;
;Разом заказників ентомологічних;2;;40;;;;;;;;
1. ;«Сосновий ліс» ;заказник;лісовий;8,4;Савранський р-н, Слюсарівське лісництво, кв.74, д. 8 ;ДП «Савранське лісове господарство» ;Рішення облвиконкому від 02.10.84 р.              № 493 ;;;;;
;Разом заказників лісових;1;;8,4;;;;;;;;
1. ;«Лісничівка» ;заказник;ботанічний;3176;Балтський р-н, Лісничівське лісництво, кв.1-52 ;ДП «Балтське лісове господарство»;Рішення облвиконкому від 02.10.84 р.              № 493 ;;;;;
2. ;«Ліски» ;заказник;ботанічний;107;Кілійський р-н, Вилківська міська рада, Вилківське лісництво, кв.7, д.1-18 ;ДП «Ізмаїльське лісове господарство»;Рішення облвиконкому від 29.12.78 р.  №742, від 01.10.93 р. № 496-ХХІ;;;;;
3. ;«Костянська балка»;заказник;ботанічний;28;Роздільнянський р-н,  Кіровська і Єгорівська сільські ради;Кіровська сільська рада, Єгорівська сільська рада;Рішення облради н/д від 01.10.93 р. № 496-ХХІ, від 14.11.2008 р. № 666-V;;;;;
4. ;«Калинівський»;заказник;ботанічний;92;Комінтернівський р-н, Калинівська сільська рад;ДП «Одеське лісове господарство» ;Рішення облради н/д від 01.10.93 р.                № 496-ХХІ ;;;;;
5;"""Новопавлівський""";заказник;ботанічний;118,43;Ширяєвський р-н.;Миколаївська сільська рада;Рішення облради від 26.04.2012 р. №446-VI ;;;;;
;Разом заказників ботанічних;5;;3521,43;;;;;;;;
1. ;«Тилігульський пересип»;заказник;орнітологічний ;390;Комінтернівський р-н, Сичавська сільська рада, пересип Тилігульського  лиману і прилегла акваторія лиману й моря ;Регіональний ландшафтний парк «Тилігульський» ;Рішення Облвиконкому від 03.12.83  р.           № 682, від 02.10.84 р. № 493, від 01.10.93 р. № 496-ХХІ;;;;;
;Разом заказників орнітологічних;1; ;390;;;;;;;;
;Всього заказників місцевого значення;31;;16440,348;;;;;;;;
1. ;Джерело «Кішево» ;пам`ятка природи;гідрологічна;0,01;Савранський р-н, с. Кам'яне ;Кам’янська сільська рада ;Рішення облвиконкому від 18.05.72 р.               № 234, від 02.10.84 р. № 493 ;;;;;
2. ;Джерело «Гайдамацький криниця»;пам`ятка природи;гідрологічна;0,01;Савранський р-н, Савранська сільська рада, Савранське лісництво, кв. 13,  вид. 21 ;ДП «Савранське лісове господарство»;Рішення облвиконкому від 18.05.72 р.                               № 234, від 02.10.84 р. № 493 ;;;;;
3. ;Джерело «Огруд»;пам`ятка природи;гідрологічна;0,01;Савранський р-н, Дубинівська сільська рада, с. Дубинове ;Дубинівська сільська рада;Рішення облвиконкому від 18.05.72 р.               № 234, від 02.10.84 р. № 493 ;;;;;
4. ;Джерело «Канава» ;пам`ятка природи;гідрологічна;0,2;Кодимський р-н, Кодимське лісництво, кв. 30, д.11 ;ДП «Кодимське лісове господарство» ;Рішення облвиконкому від 28.03.79 р.              № 125, від 02.10. 84 р. № 493 ;;;;;
5. ;Джерело «Слободка» ;пам`ятка природи;гідрологічна;0,2;"Кодимський р-н, ур. ""Слободка"", кв.34, д. 13 ";ДП «Кодимське лісове господарство»;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
6. ;Джерело «Зустріч» ;пам`ятка природи;гідрологічна;0,2;Кодимський р-н, Кодимське лісництво,кв.8, д.8 ;ДП «Кодимське лісове господарство»;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
;Разом пам`яток природи гідрологічних;6;;0,63;;;;;;;;
1. ;«Гребеники» ;пам`ятка природи;геологічна;0,3;В-Михайловський р-н, Гребенівська сільська рада ;Гребениківська сільська рада;Рішення облвиконкому від 18.05.72 р.             № 234, від 02.10.84 р. № 493 ;;;;;
;Разом пам`яток природи геологічних;1;;0,3;;;;;;;;
1. ;Діброва «Арцизька» ;пам`ятка природи;ботанічна;2;Арцизький р-н, Арцизька міська рада, Арцизьке лісництво, кв.7, д.6 ;ДП «Саратське лісове господарство»;Рішення облвиконкому від 18.05.72 р.               № 234, від 02.10.84 р. № 493 ;;;;;
2. ;«Віковий дуб» ;пам`ятка природи;ботанічна;0,02;Балтський р-н, Гербінська  сільська рада, Піщанське лісництво, кв.9, д.2 ;ДП «Балтський лісове господарство»;Рішення облвиконкому від 28.03.73 р.                № 125, від 02.10.84 р. № 493 ;;;;;
3. ;«Перша діброва червоного дуба» ;пам`ятка природи;ботанічна;1,7;Кодимський р-н, Кодимське лісництво, кв.16, д.4;ДП «Кодимське лісове господарство»;Рішення облвиконкому від 28.03.73  р.              № 125, від 02.10.84 р. № 493;;;;;
4. ;«Діброва Лабушна»;пам`ятка природи;ботанічна;0,6;Балтський р-н, Козацька сільська рада Лісничівське лісництво, кв. 65, д. 15, ур. «Лабушне» ;ДП «Балтське лісове господарство»;Рішення облвиконкому від 18.05.72 р.                № 234, від 02.10.84 р. № 493 ;;;;;
5. ;«Друга діброва червоного дуба»;пам`ятка природи;ботанічна;1,3;Кодимський р-н, Кодимське лісництво, кв.17, д.12 ;ДП «Кодимське лісове господарство» ;Рішення облвиконкому від 28.03.73 р. №125, від 02.10.84 р. № 493 ;;;;;
6. ;«Віковий дуб» ;пам`ятка природи;ботанічна;0,15;м. Одеса, пров. Матросова, 1/3 ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р. №234, від 02.10.84 р. № 493 ;;;;;
7. ;«Пушкінський платан» ;пам`ятка природи;ботанічна;0,01;м. Одеса, Приморський бульвар, 1 ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р. №234, від 02.10.84 р. № 493 ;;;;;
8. ;«Новоіванівський»  ;пам`ятка природи;ботанічна;2;Арцизький р-н, с. Новоїванівка, Новоіванівське лісництво ;ДП «Ізмаїльське лісове господарство»;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
9. ;«Суворівський»;пам`ятка природи;ботанічна;1;м. Одеса, вул. Героїв Сталінграду, 92а;Приватна ЗОШ «Еліта» І-ІІІ ступеню;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
10. ;«Акація біла» ;пам`ятка природи;ботанічна;0,015;м. Одеса, сквер ім. Старостіна ;Комунальне підприємство «Міськзелентрест»;Рішення Облвиконкому від 03.12. 83 р. №682, від 02.10. 84 р. № 493 ;;;;;
11;«Акація біла»;пам`ятка природи;ботанічна;0,02;м. Одеса, ріг вулиць Старопортофранківської і Розкидайлівської ;Комунальне підприємство «Міськзелентрест»;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
12;«Гінкго більоба» ;пам`ятка природи;ботанічна;0,02;м. Одеса, вул. Пастера, 13 ;Наукова бібліотекаім. Горького ;Рішення облвиконкому від 18.05.72 р. №234, від 02.10.84 р. № 493 ;;;;;
13;«Гінкго більоба» ;пам`ятка природи;ботанічна;0,02;м. Одеса, санаторій «Росія»;Санаторій «Росія» ;Рішення облвиконкому від 03.12.83 р. № 682, від 02.10.84 р. № 493 ;;;;;
14;«Гінкго більоба» ;пам`ятка природи;ботанічна;0,02;м. Одеса, сквер ім. Мечнікова ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 29.12.79 р. №764, від 02.10.84 р. № 493 ;;;;;
15;«Дуб білий»;пам`ятка природи;ботанічна;0,02;м. Одеса, Обсерваторний пров., 6 ;Комунальне підприємство «Міськзелентрест»;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
16;«Дуб звичайний» (черещатий) ;пам`ятка природи;ботанічна;0,2;м. Одеса, санаторій «Юність» ;Санаторій «Юність»;Рішення облвиконкому від 29.12.79 р. №764, від 02.10.84 р. № 493 ;;;;;
17;«Дуб звичайний»;пам`ятка природи;ботанічна;0,04;м. Одеса, Обсерваторний пров., 6 ;Комунальне підприємство «Міськзелентрест» ;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
18;«Дуб звичайний» ;пам`ятка природи;ботанічна;0,02;м. Одеса, вул. Ясна, 4 ;ТОВ «Прімадом»;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
19;«Дуб звичайний» ;пам`ятка природи;ботанічна;0,02;м. Одеса, Фонтанська дорога, 30/32 ;Комунальне підприємство «Міськзелентрест»;Рішення облради від 01.10.93 №496-ХХІ ;;;;;
20;«Кедр річковий»;пам`ятка природи;ботанічна;0,02;м. Одеса, санаторій ім. Чкалова ;Санаторій ім. Чкалова ;Рішення облвиконкому від 03.12. 83 р.            № 682, від 02.10.84 р. № 493 ;;;;;
21;«Каштан кінський» ;пам`ятка природи;ботанічна;0,015;м. Одеса, вул. Гаванна, 4 ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 03.12.83 р.                № 682, від 02.10.84 р. № 493 ;;;;;
22;«Каштан кінський» ;пам`ятка природи;ботанічна;0,01;м. Одеса, вул. Новосільського, 70 ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 29.12.79 р.              № 764, від 02.10.84 р. № 493 ;;;;;
23;«Липа американська»;пам`ятка природи;ботанічна;0,02;м. Одеса, вул. Отрадна, 3 ;Комунальне підприємство «Міськзелентрест»;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
24;«Платан західний» ;пам`ятка природи;ботанічна;0,02;м. Одеса, сквер ім. Старостіна ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 03.12. 83 р.             № 682, від 02.10.84 р. № 493 ;;;;;
25;«Платан західний» ;пам`ятка природи;ботанічна;0,01;м. Одеса, сквер Пале-Рояль ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р.           № 234, від 02.10.84 р. № 493 ;;;;;
26;«Платан західний» ;пам`ятка природи;ботанічна;0,01;м. Одеса, сквер Пале-Рояль ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р.         № 234, від 02.10.84 р. № 493 ;;;;;
27;«Платан західний»;пам`ятка природи;ботанічна;0,01;м. Одеса, Сабанеєв міст, 4 ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р.              № 234 ;;;;;
28;«Платан західний» ;пам`ятка природи;ботанічна;0,01;м. Одеса, сквер Оперного театру ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р. №234, від 02.10.84 р. № 493 ;;;;;
29;«Платан західний» ;пам`ятка природи;ботанічна;0,01;м. Одеса, сквер Оперного театру ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р.                                           № 234, від 02.10.84 р. № 493 ;;;;;
30;«Платан західний» ;пам`ятка природи;ботанічна;0,01;м. Одеса, сквер Оперного театру ;Комунальне підприємство «Міськзелентрес» ;Рішення облвиконкому від 18.05.72 р. №234, від 02. 10.84 р. № 493 ;;;;;
31;«Софора японська плакуча» ;пам`ятка природи;ботанічна;0,01;м. Одеса, сквер Оперного театру ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р.             № 234, від 02.10.84 р.№ 493 ;;;;;
32;«Тис ягідний» ;пам`ятка природи;ботанічна;0,02;м. Одеса, Обсерваторний пров., 3 ;Комунальне підприємство «Міськзелентрест»;Рішення облради від 01.10.93 р. №496-ХХІ ;;;;;
33;«Тополя канадська» ;пам`ятка природи;ботанічна;0,015;м. Одеса, вул. Дюківська, 12 ;Комунальне підприємство «Міськзелентрест» ;Рішення облвиконкому від 03.12. 83 р.        № 682, від 02.10.84 р. № 493 ;;;;;
34;«Тополя канадська» ;пам`ятка природи;ботанічна;0,02;м. Одеса, вул. Торгова, 17 ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 03.12.83 р.  № 682, від 02.10.84 р. № 493 ;;;;;
35;«Казковий»;пам`ятка природи;ботанічна;0,6152;Котовський р-н, ст. Борщі,                       вул. Польова,1;Борщівська загальноосвітня школа І-ІІІ ступеня ;Рішення облради від 01.10 93 р. №496-ХХІ, 24.02.2010 р. № 1039-У   ;;;;;
36;«Тополя чорна» ;пам`ятка природи;ботанічна;0,2;м. Одеса, Шампанський пров. (напроти котельної) ;Комунальне підприємство «Міськзелентрест»;Рішення облради від 01.10.93 р. № 496-ХІІ;;;;;
37;«Слюсарівський віковий дуб»;пам`ятка природи;ботанічна;0,02;Савранський р-н, Слюсарівське ліс-во, кв. 36 вид. 4  ;ДП «Савранське лісове господарство»;Рішення облради від 23.02.07 р. № 183-У;;;;;
