№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
7;Михайло-Ларинський;заказник;ботанічний;14,8;Жовтневий р-н;ДП „Миколаївське лісове господарство” ;№ 6 від 23.04.09 
8;Кримки ;заказник;ботанічний;7;Снігурівський р-н;землі державної власності (запас);№ 24 від 02.02.95
9;Богодарівка;заказник;ботанічний;50;Новоодеський р-н;;№ 24 від 02.02.95
10;Єлізаветівка;заказник;ботанічний;27;Снігурівський р-н;землі державної власності (запас);№ 24 від 02.02.95
;Разом заказників ботанічних;10;;435,5;;;
1;Пониззя Тилігульського лиману;заказник;орнітологічний;120;Березанський р-н;землі державної власності (запас);№ 668 від 20.12.76 №448 від 23.10.84
2;Бузький;заказник;орнітологічний;210;Вознесенський р-н;ВАТ “Зелений гай”;№ 448 від 23.10.84
;Разом заказників орнітологічних;2;;330;;;
1;Південнобузький;заказник;іхтіологічний;40;Арбузинський р-н;землі державної власності;№ 448 від 23.10.84
2;Олександрівський;заказник;іхтіологічний;62,5;Вознесенський р-н;Миколаївська держрибінспекція;№ 448 від 23.10.84
;Разом заказників іхтіологічних;2;;102,5;;;
1;Солоне озеро;заказник;гідрологічний;375;Березанський р-н;землі державної власності (запас);№448 від 23.10.84
2;Підземне озеро;заказник;гідрологічний;41;Вознесенський р-н;ВАТ “Зелений гай”;№448 23.10.84
3;Щербанівське водосховище ;заказник;гідрологічний;385;Вознесенський р-н;Вознесенське управління зрошувальних мереж;
4;Жовтневе водосховище;заказник;гідрологічний;429;м.Миколаїв;;№ 281 від 11.12.90
5;Софіївське водосховище;заказник;гідрологічний;418;Новобузький  р-н;Облводгосп;№ 281 від 11.12.90
6;Катеринівське водосховище;заказник;гідрологічний;330;Веселинівський р-н;Миколаївське міжрайонне управління водного господарства ;№ 11 від 12.03.93
;Разом заказників гідроогічних;6;;1978;;;
;Всього заказників місцевого значення;54;;10657,92;;;
