№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
172;Піски;заказник;ботанічний;201;Сосницький район,                                                     кв. 19-20 Сосницького лісництва;"ДП ""Холминське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 165"
173;Лозове;заказник;ботанічний;857;Сосницький район,                                         кв. 3-18 Сосницького лісництва ;"ДП ""Холминське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 165"
174;"Урочище ""Кути""";заказник;ботанічний;122;Сосницький район,                                       с. Загребелля;"СГВК ""Загребелля"" (Загребельська сільська рада) Сосницького району";рішення Чернігівського облвиконкому від 28.08.1989 року № 164
175;Гладомирівка;заказник;ботанічний;197;Сосницький район,                                         кв. 91, 95, 96 Сосницького лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
176;Кудрівський;заказник;ботанічний;207;Сосницький район,                                        кв. 52, 54, 55, 62, 70 Сосницького лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
177;Приубідьський;заказник;ботанічний;229;Сосницький район,                                   кв. 39, 48, 56, 58, 63, 65 Сосницького лісництва;"ДП ""Холминське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
178;"Галаганове                          (урочище ""Парк Галагана"")";заказник;ботанічний;350;Срібнянський район,                                           кв. 19-34 Сокиринського лісництва ;"ДП ""Прилуцьке лісове господарство""";"рішення Чернігівського облвиконкому від 16.07.1968 року № 389; рішення Чернігівського облвиконкому від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454;  рішення Чернігівського облвиконкому від 28.08.1989 року № 164                     "
179;Соколівське;заказник;ботанічний;454;Срібнянський район,                                                кв. 55-64 Сокиринського лісництва ;"ДП ""Прилуцьке лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164     "
180;Березовиця;заказник;ботанічний;319;"Талалаївський район,                                              кв. 8 Талалаївського лісництва ДП ""Талалаївкарайагролісництво""";"ДП ""Талалаївкарайагролісництво""";рішення Чернігівської обласної ради від 21.03.1995 року
181;Липова пономарка;заказник;ботанічний;167;Талалаївський район,                                                кв. 22-24 Талалаївського лісництва;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454;рішення Чернігівського облвиконкому від 28.08.1989 року № 164  "
182;Попівщина;заказник;ботанічний;142;Талалаївський район,                                        кв. 28-29 Талалаївського лісництва ;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164  "
183;Борова;заказник;ботанічний;110;Чернігівський район,                                                   кв. 84, 85 Ревунівського лісництва  ;"ДП ""Чернігівське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159"
184;Ведильцівське;заказник;ботанічний;796;Чернігівський район,                                            кв. 5, 6, 11, 12, 17, 18, 21, 22, 25, 26, 29, 30, 34 Пакульського лісництва ;"ДП ""Чернігівське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159; рішення Чернігівської обласної ради від 14.05.1999 року"
185;Колодливе;заказник;ботанічний;109;"Чернігівський район,                          кв. 118, 119 Чернігівського лісництва ДП ""Чернігівське лісове господарство""";"ДП ""Чернігівське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529;  рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
186;Олишівський;заказник;ботанічний;31,1;Чернігівський район,                                    кв. 4 вид. 1, кв.9 вид. 18, кв.10 вид 1, 14, 23, кв. 17 вид. 6 Олишівського лісництва  ;"ДП ""Чернігівське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
187;Панченкове;заказник;ботанічний;24;Чернігівський район,                                         с. Серединка;"ДП ""Чернігівоблагроліс""";рішення Чернігівського облвиконкому від 28.08.1989 року № 164
188;Ревунівське;заказник;ботанічний;705;Чернігівський район,                        кв. 18, 19, 23-28, 30, 32, 34, 36 Ревунівського лісництва  ;"ДП ""Чернігівське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159; рішення Чернігівської обласної ради від 11.04.2000 року"
189;Вершини;заказник;ботанічний;661;Щорський район,                                              кв. 97-108 Щорського лісництва  ;"ДП ""Корюківське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
190;Низківка;заказник;ботанічний;422,6;Щорський район,                                               кв. 109-116 Щорського лісництва ;"ДП ""Корюківське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529;  рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 № 164; рішення Чернігівської обласної ради від 30.10.2001 року "
191;Боровицька дача;заказник;ботанічний;293;Щорський район,                                                   кв. 92-97 Старо-Руднянського лісництва ;"ДП ""Городнянське лісове господарство""";"рішення Чернігівського облвиконкому від 31.07.1991 року № 159; рішення Чернігівської обласної ради від 21.03.1995 року"
192;Кулишеві луги ;заказник;ботанічний;174;Варвинський район, кв. 45-47 Варвиснського лісництва;"ДП ""Прилуцьке лісове господарство""";Рішення Чернігівської обласної ради від 30.07.2010 року
;Разом заказників ботанічних ;96;;29126,9;;;
193;Охинський;заказник;ентомологічний;23;Прилуцький район,                                      с. Охиньки;Охиньківська сільська рада Прилуцького району;" рішення Чернігівського облвиконкому від 06.12.1982 року № 602; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
194;Яблунівський;заказник;ентомологічний;35;Прилуцький район,                                         с. Яблунівка;"Підприємство ""Козак"" Прилуцької громадської організації ""Козацтво Прилуччини"" (с. Яблунівка Прилуцького району)";" рішення Чернігівського облвиконкому від 06.12.1982 року № 602; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
;Разом заказників  ентомологічних;2;;58;;;
195;Кам'яна гряда;заказник;іхтіологічних;1;Новгород-Сіверський район,                         м. Новгород-Сіверський;Новгород-Сіверська міська рада;рішення Чернігівської обласної ради від 14.05.1999 року
196;Лісконоги;заказник;іхтіологічних;51,7;Новгород-Сіверський район,                         с. Лісконоги;Чернігівдержрибоохорона;Рішення Чернігівської обласної ради від 30.07.2010 року
;Разом заказників іхтіологічних;2;;52,7;;;
197;Гужевик;заказник;орнітологічний;26,1;Семенівський район,                                кв. 88 вид. 16-18, 22-26;"ДП ""Семенівське лісове господарство""";рішення Чернігівської обласної ради від 14.05.1999 року
198;Вузьке;заказник;орнітологічний;26,2;Сосницький район,                                кв. 42 вид. 2-4, кв. 43 вид. 1-3 Сосницького лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівської обласної ради від 14.05.1999 року
199;Придеснянський;заказник;орнітологічний;14;"Сосницький район,                                                   кв.131 вид. 21                                               ДП ""Сосницярайагролісгосп""";"ДП ""Сосницярайагролісгосп""";рішення Чернігівської обласної ради від 11 червня 2008 року
200;Мньовський;заказник;орнітологічний;38;Чернігівський район,                                        кв. 103 Ведильцівського лісництва ;"ДП ""Чернігівське лісове господарство""";рішення Чернігівського облвиконкому від 31.07.1991 року № 159
;Разом заказників орнітологічних;4;;104,3;;;
201;Білинне;заказник;гідрологічний;70;Бахмацький район,                             сел. Батурин ;Батуринська селищна рада;рішення Чернігівської обласної ради від 14.05.1999 року
202;Біловежівський;заказник;гідрологічний;149;Бахмацький район,                                  с. Біловежі-Перші, с. Вишнівське ;Рубанська сільська рада Бахмацького району;рішення Чернігівської обласної ради від 21.03.1995 року
