№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
9.       ;«Цілинна ділянка»;заказник;ботанічний;2;Новомиколаївський район. с.Любицьке;Любицька сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
10.   ;«Цілинні пришляхові смуги»;заказник;ботанічний;2;Гуляйпольський р-н біля с.Комсомольське;Комсомольська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
11.   ;«Балка Данилівська»;заказник;ботанічний;2;Гуляйпольський р-н с.Успенівка;Новомиколаївська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
12.   ;«Цілинна ділянка»;заказник;ботанічний;2;Гуляйпольський р-н с.Любимівка;Любимівська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
13.   ;«Цілинна ділянка»;заказник;ботанічний;2;Василівський р-н, набережна Каховського водосховища біля м.Дніпрорудного;Міськрада м.Дніпрорудний;Рішення Запорізького облвиконкому від 28.05.1980р. №253
14.   ;«Цілинна ділянка»;заказник;ботанічний;2;Бердянський р-н, околиця с.Карла Маркса;Карла Марксівська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
15.   ;«Берег старого русла р.Обіточна»;заказник;ботанічний;2;Приморський р-н, околиця м.При-морськ;Ногайський держаний агротехнічний технікум;Рішення Запорізького облвиконкому від 22.09.1982р. № 431
16.   ;«Цілинна ділянка»;заказник;ботанічний;2;Василівський р-н, біля с.Приморське;Приморська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
17.   ;«Балка Гончари» (охоронна зона 30 м);заказник;ботанічний;2,2;Новомиколаївський район, в польовому сівообігу №1, с. Веселий гай;Веселогаївська сільська рада;Розпорядження Представника Президента від 2.10.1992р. №321
18.   ;«Лісосмуга з підліском глоду»;заказник;ботанічний;2,3;Токмакський р-н, біля с. Жовтневе;Держплемзавод «Ударнік»;Рішення Запорізького облвиконкому від 28.05.1980р. №253
19.   ;«Балка Голубівка»;заказник;ботанічний;3;Новомиколаївський район, околиця с.Голубівка, біля кінського заводу;Запорізький кінзавод №86;Рішення Запорізького облвиконкому від 28.05.1980р. №253
20.   ;«Водянські і Іванівські Кічугури»;заказник;ботанічний;3;Кам’янсько Дніпровський р-н, околиця с.Водяне;Водянська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
21.   ;«Балка Трушевська»;заказник;ботанічний;3;Запорізький р-н, с.Біленьке;Біленьківська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
22.   ;«Цілинна ділянка»;заказник;ботанічний;3;Василівський р-н, біля с.м.т. Степногірськ;Степногірська селищна рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
23.   ;«Водоохоронна зона»;заказник;ботанічний;3;Чернігівський р-н, північий бік с.Кам’янка;Стульнівська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
24.   ;«Цілинна ділянка»;заказник;ботанічний;3;Пологівський р-н, біля с.Конські Роздори, водоохоронна зона р. Конки;Консько роздорська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
25.   ;«Шайтанова балка»;заказник;ботанічний;3;Бердянський р-н, біля с.Андровка;Долинська с/р;Рішення Запорізького облвиконкому від 28.05.1980р. №253
26.   ;«Захисна смуга»;заказник;ботанічний;3;Приазовський район, в межах земель с. Дунаївка;Дунаївська сільська рада (Приазовська РДА);Рішення Запорізького облвиконкому від 28.05.1980р. №253
27.   ;«Цілинна ділянка»;заказник;ботанічний;3,1;Пологівський р-н, поблизу с. Конські роздори;Консько роздорська сільська рада;Рішення Запорізької ради від 17.08.99р.№7
28.   ;«Урочище Церкви»;заказник;ботанічний;4;Чернігівський р-н, с.Могиляни;Чернігівська селищна рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
