№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
100;“Мерешкувата дача”;заказник;ентомологічний;2;с. Червона Хвиля,Великобурлуцький район;ДП ДГ “Червона хвиля”;Рішення облвиконкому від 03.12.1984 № 562
101;“Василівський”;заказник;ентомологічний;5,5;с. ІванівкаВовчанський район;Іванівська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
102;“Осоківський”;заказник;ентомологічний;25;с. Миколаївка,Дворічанський район;Дворічанська райдержадміністрація;Рішення облвиконкому від 03.12.1984 № 562
103;“Піщаний”;заказник;ентомологічний;15;с. Піщанка,Дворічанський район;Дворічанська райдержадміністрація;Рішення облвиконкому від 03.12.1984 № 562
104;“Строївський”;заказник;ентомологічний;28;с. Строївка,Дворічанський район;Дворічанська райдержадміністрація;Рішення облвиконкому від 03.12.1984 № 562
105;“Криничанський”;заказник;ентомологічний;18;с. Криничне,Дворічанський район;Дворічанська райдержадміністрація;Рішення облвиконкому від 03.12.1984 № 562
106;“Осинник”;заказник;ентомологічний;20;с. Осинник,Дворічанський район;Дворічанська райдержадміністрація;Рішення облвиконкому від 03.12.1984 № 562
107;“Кущувате”;заказник;ентомологічний;5,6;с. Ветеринарне,Дергачівський район;СТОВ “Кордон”;Рішення облвиконкому від 03.12.1984 № 562
108;“Старий сад”;заказник;ентомологічний;5;с. Козача Лопань,Дергачівський район;Дергачівська райдержадміністрація;Рішення облвиконкому від 03.12.1984 № 562
109;“Великоярузький”;заказник;ентомологічний;56;с.АлісівкаДергачівський район;СТОВ “Україна”;Рішення облради від 17.11.1998
110;“Шевченків яр”;заказник;ентомологічний;10,1;с. Ульянівка,Зачепилівський район;Новомажарська сільська рада;Рішення облради від 17.12.1993
111;“Ульянівський”;заказник;ентомологічний;8,4;с. Ульянівка,Зачепилівський район;Новомажарська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
112;“Чорноглазівський”;заказник;ентомологічний;2,9;с. Чорноглазівка,Золочівський район;Жовтнева сільська рада;Рішення облвиконкому від 03.12.1984 № 562
113;“Удянський”;заказник;ентомологічний;3;с. Уди,Золочівський район;Удянськ а сільська рада;Рішення облвиконкому від 03.12.1984 № 562
114;“Прогін”;заказник;ентомологічний;6;с. Нижній Бишкін,Зміївський район;АТЗТ “Світло шахтаря”;Рішення облвиконкому від 03.12.1984 № 562
115;“Роздольний”;заказник;ентомологічний;5;с. Борки,Зміївський район;ДГ “Роздольне” НДІ птахівництва ААНУ;Рішення облвиконкому від 03.12.1984 № 562
116;“Кукилівський”;заказник;ентомологічний;5;с. Кукилівка,Зміївський район;Селекційний, технологічний і комерційний центр, держплемзавод;Рішення облвиконкому від 03.12.1984 № 562
117;“Круглий”;заказник;ентомологічний;3,7;с. Копанки,Ізюмський район;Бугаївська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
118;“Запилювач”;заказник;ентомологічний;5;с. Мала Камишуваха,Ізюмський район;Малокамишувахська сільська рада ;Рішення облвиконкому від 03.12.1984 № 562
119;“Вшивий”;заказник;ентомологічний;5,8;смт. Кегичівка,Кегичівський район;ПП “Агропрогрес”;Рішення облвиконкому від 03.12.1984 № 562
120;“Бесарабівський”;заказник;ентомологічний;5,6;с. Бесарабівка,Кегичівський район;Кегичівська районна державна адміністрація;Рішення облвиконкому від 03.12.1984 № 562
121;“Ленінський”;заказник;ентомологічний;2;с. Ленінка,Красноградський район;СТОВ “Злагода”;Рішення облвиконкому від 03.12.1984 № 562
122;“Мокрянський”;заказник;ентомологічний;3;с. Миколо-Комишувата,Красноградський район;ФАОП “Зоря”;Рішення облвиконкому від 03.12.1984 № 562
123;“Гірчаківський”;заказник;ентомологічний;5;с. Гірчаківка,Красноградський район;ФАОП “Зоря”;Рішення облради від 20.05.1993 
124;“Краснокутський”;заказник;ентомологічний;4;смт. Краснокутськ,Краснокутський район;СВК “Маяк”;Рішення облвиконкому від 03.12.1984 № 562
125;“В’язівський”;заказник;ентомологічний;20,6;с.Михайлівка Краснокутський район;Краснокутська районна державна адміністрація;Рішення облради від 25.06.2009 №1274
126;“Гаркавецький”;заказник;ентомологічний;8,9;с.ГаркавецьКраснокутський район;Краснокутська районна державна адміністрація;Рішення облради від 25.06.2009 №1274
127;“Стінки”;заказник;ентомологічний;7;с. Петропавлівка,Куп’янський район;Фермерське господарство “Ромашка”;Рішення облвиконкому від 03.12.1984 № 562
128;“Берестовий”;заказник;ентомологічний;3;с. Надеждівка,Лозівський район;Надеждінська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
129;“Михайлівський”;заказник;ентомологічний;3;с. Катеринівка,Лозівський район;Катеринівська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
130;“Вінники”;заказник;ентомологічний;7,5;с. ВласівкаНововодолазький район;ЧАСП “Комінтерн”;Рішення облвиконкому від 03.12.1984 № 562
131;“Балки”;заказник;ентомологічний;5;с. ФедорівкаНововодолазький район;ПСП “Федорівське”;Рішення облвиконкому від 03.12.1984 № 562
132;“Пересіл”;заказник;ентомологічний;12,2;с. Знам’янка,Нововодолазький район;Знам’янська сільська рада;Рішення облради від 21.05.1993
133;“Мирчакова балка”;заказник;ентомологічний;6,1;с. Просяне,Нововодолазький район;ЧАСП “Колос”;Рішення облради від 21.05.1993
134;“Парижанський”;заказник;ентомологічний;5;с. Парижське,Первомайський район;Первомайська районна державна адміністрація;Рішення облвиконкому від 03.12.1984 № 562
135;“Орільський”;заказник;ентомологічний;5;с.ШульськеПервомайський район;Первомайська районна державна адміністрація;Рішення облвиконкому від 03.12.1984 № 562
136;“Бджолиний № 2”;заказник;ентомологічний;3;с. Ленінське,Сахновщинський район;Новоолександрівська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
137;“Лаптєве”;заказник;ентомологічний;5;с. Сороківка,Харківський район;Дослідне господарство “Українка Слобідська”;Рішення облвиконкому від 03.12.1984 № 562
138;“Попова дача”;заказник;ентомологічний;1,5;с. Зернове,Харківський район;ДГ “Елітне” інституту ім. В.Я. Юр’єва ААНУ;Рішення облвиконкому від 03.12.1984 № 562
139;“Смородський”;заказник;ентомологічний;3;с. Смородське,Харківський район;ДГ “Комунар” УкрНДІ грунтознавства та агрохімії Ім.. Соколовського;Рішення облвиконкому від 03.12.1984 № 562
140;“Моспанівський”;заказник;ентомологічний;5;с. Моспанове,Чугуївський район;ЗАСТ “Україна”;Рішення облвиконкому від 03.12.1984 № 562
141;“Михайлівський”;заказник;ентомологічний;5,6;с. МихайлівкаЧугуївський район;ТОВ “Агросервіс ЛТД”;Рішення облвиконкому від 03.12.1984 № 562
142;“Студенок”;заказник;ентомологічний;4,9;с. Студенок,Чугуївський район;СВК “Іванівський лан”;Рішення облвиконкому від 03.12.1984 № 562
143;“Кочетоцький”;заказник;ентомологічний;50;смт. Кочеток,Чугуївський район;Виробниче управління водопровідного господарства “Дінець”;Рішення облвиконкому від 07.02.1992 № 35
144;“Мерехнянський”;заказник;ентомологічний;7;с.ФедорівкаШевченківський район;Сподобівська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
145;“Веселий”;заказник;ентомологічний;3,9;с. Петропілля,Шевченківський район;Петропільська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
146;„Кравцівський”;заказник;ентомологічний;22;с.КравцівкаШевченківський район;Безм”тежненська сільська рада-15,6 га, ДП „Чугуєво-Бабчанське лісове господарство”-6,4 га;Рішення обласної ради від 17.04.2008 №699-V
;Разом заказників ентомологічних;63;;594,8;;;
147;“Бритай”;заказник;орнітологічний;158;с.НовомиколаївкаБарвінківський район;Новомиколаївська сільська рада;Рішення облвиконкому від 07.02.1992 № 35
148;“Куплеватське”;заказник;орнітологічний;40;с.МечебіловеБарвінківський район;Мечебілівська сільська рада;Рішення облвиконкому від 07.02.1992 № 35
149;“Займанський”;заказник;орнітологічний;157,1;с. Займанка,Зачепилівський район;Сомівська сільська рада;Рішення облради від 30.10.2001
150;“Мартинівський”;заказник;орнітологічний;160;с. Мартинівка,Красноградський район;АФ “Піщанська”;Рішення облради від 21.05.1993
151;“Чаплі”;заказник;орнітологічний;142,2;с. Парасковія,Нововодолазький район;Мелихівська сільська рада;Рішення облради від 21.05.1993
152;“Іванья”;заказник;орнітологічний;128,6;с. Знам’янка,Нововодолазький район;Знам’янська сільська рада;Рішення облради від 21.05.1993
153;“Пташиний”;заказник;орнітологічний;2;смт. Орілька,Лозівський район.;Орільське відділення управління каналу Дніпро-Донбас.;Рішення облради від 27.01.2005
;Разом заказників орнітологічних;7;;787,9;;;
