№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
3;Старовишневець-кий;заказник;ландшафтний;113,4;с. Старовишневецьке Синельниківського району;Синельниківська райдержадміністрація;Рішення облвиконкому 07.12.1985 №703, /зміни Розпорядженням 19.12.1995 №50-Р/
4;Отченашкові наділи;заказник;ландшафтний;400;м. Підгородне Дніпропетровського району;Дніпропетровська райдержадміністрація;Розпорядження облдержадміністрації 19.12.1995 №50-Р
5;Вершина;заказник;ландшафтний;48,4;Біля хутора Вершина та смт. Просяна Покровського району;ВАТ “Просянський гірничо-збагачувальний комбінат”;Рішення обласної ради 16.10.1998 №70-3/XXIII
6;Візирка;заказник;ландшафтний;121;На північній околиці м. Інгулець;ВАТ “ІнГЗК”;Рішення облради від 28.12.2001 № 502-19/XXIII
7;Урочище Хорошево;заказник;ландшафтний;15;Біля с. Хорошеве Синельниківського району;ФГ «ВЕК»;Рішення облради від 28.12.2001 № 502-19/XXIII
8;Тернівський;заказник;ландшафтний;2156,4;с.  Нова Дача, Нова Русь, Зелене, Поперечне Павлоградського району;Павлоградська райдержадміністрація;Рішення обласної ради від 25.09.2008 № 442-16/У
9;Балка Городище;заказник;ландшафтний;1053,58;с. Привовчанське та Троїцьке Павлоградського району;Павлоградська райдержадміністрація;Рішення обласної ради від 27.11.2008 № 482-17/V
10;Урочище Могила Баба;заказник;ландшафтний;625,7;с. Межиріч та Булахівка Павлоградського району;Павлоградська райдержадміністрація;Рішення обласної ради від 29.01.2009 № 521-18/V
11;Річка Соломчина;заказник;ландшафтний;385,09;Між селами Рубанівське, Аврамівка та Червона Долина  Васильківського району;Васильківська райдержадміністрація;Рішення обласної ради від 18.12.2009 №657-22/V
12;Гришаї;заказник;ландшафтний;134,24;Між селами Лиса Балка, Гришаї та Дубовики Васильківського району;-;Рішення обласної ради від 18.12.2009 №657-22/V
13;Новогригорівський;заказник;ландшафтний;338,87;На захід від с. Павлівка Васильківського району;-;Рішення обласної ради від 18.12.2009 №657-22/V
14;Чаплино-Васильківський;заказник;ландшафтний;825,58;На південь від с. Григорівка Васильківського району;-;Рішення обласної ради від 18.12.2009 №657-22/V
15;Річка Чаплина;заказник;ландшафтний;733,25;На захід від сел. Зелена Роща та Зелений Гай Васильківського району;-;Рішення обласної ради від 18.12.2009 №657-22/V
16;Надвовчанський;заказник;ландшафтний;1059,47;смт. Васильківка, с. Письменне Воскресенівка, Великоолександрівка та Богданівка Васильківського району;-;Рішення обласної ради від 18.12.2009 №657-22/V
17;Воронівський;заказник;ландшафтний;664,4;с. Великомихайлівка та Березове Покровського району;Покровська райдержадміністрація;Рішення Дніпропетровської облради від 22.09.2010 №783-27/V
18;Річка Гайчур;заказник;ландшафтний;1254,5;с. Андріївка, смт. Покровське та  с. Олександрівка  Покровського району;-;Рішення Дніпропетровської облради від 22.09.2010 №783-27/V
19;Річка Янчур;заказник;ландшафтний;978,4;с. Андріївка, Вишневе, Олександрівка та Березове Покровського району;-;Рішення Дніпропетровської облради від 22.09.2010 №783-27/V
20;Березово-Вишневський;заказник;ландшафтний;1076,9;с. Березове та Вишневе  Покровського району;Покровська райдержадміністрація;Рішення Дніпропетровської облради від  25.03.2011 №89-5/VI
21;Балка Горіхова;заказник;ландшафтний;1297,1;с. Новопавлівка  Межівського району;Межівська райдержадміністрація;Рішення Дніпропетровської облради від  25.03.2011 №89-5/VI
22;Балка Скелька;заказник;ландшафтний;507,1;с. Слов'янка  Межівського району;Межівська райдержадміністрація;Рішення Дніпропетровської облради від  25.03.2011 №89-5/VI
23;Антонівський;заказник;ландшафтний;1874,1;с. Іанівка та Богданівка  Межівського району;Межівська райдержадміністрація;Рішення Дніпропетровської облради від  21.10.2011 №179-9/VI
24;Сухий Бичок;заказник;ландшафтний;1278,7;с. Зоряне Межівського району;Межівська райдержадміністрація;Рішення Дніпропетровської облради від  21.10.2011 №179-9/VI
25;Малотернівський;заказник;ландшафтний;975;с. Вербки Павлоградського району;Павлоградська райдержадміністрація;Рішення Дніпропетровської облради від  21.10.2011 №179-9/VI
26;Троїцько-Вишневецький;заказник;ландшафтний;681,8;с. Привовчанске та Троїцьке Павлоградського району;Павлоградська райдержадміністрація;Рішення Дніпропетровської облради від  21.10.2011 №179-9/VI
27;В'язівоцький;заказник;ландшафтний;374,6;с. В'язівок та Кочережки Павлоградського району;Павлоградська райдержадміністрація;Рішення Дніпропетровської облради від  21.10.2011 №179-9/VI
28;Старокасьянівсь-кий;заказник;ландшафтний;3504,2;с. Катеринівка та смт. Покровське;Покровська райдержадміністрація;Рішення Дніпропетровської облради від  27.12.2011 №218-10/VI
29;Грушівка;заказник;ландшафтний;137,5;с. Новокиївка Томаківського району;ВАТ «Марганецький ГЗК»;Рішення Дніпропетровської облради від  27.12.2011 №218-10/VI
30;Голубівський;заказник;ландшафтний;120,66;с. Преображенка, Юр’ївського району;Юр’ївська райдержадміністрація;Рішення Дніпропетровської облради від  03.02.2012 №247-11/VI
31;Варламівський;заказник;ландшафтний;801,34;с. Жемчужне, Юр’ївського району;Юр’ївська райдержадміністрація;Рішення Дніпропетровської облради від  03.02.2012 №247-11/VI
32;Урочище Приорільське;заказник;ландшафтний;945,46;с. Чернявщина, Юр’ївського району;Юр’ївська райдержадміністрація;Рішення Дніпропетровської облради від  03.02.2012 №247-11/VI
33;Івано-Межиріцький;заказник;ландшафтний;66,9;с. Новомиколаївка, Юр’ївського району;Юр’ївська райдержадміністрація;Рішення Дніпропетровської облради від  03.02.2012 №247-11/VI
34;Витоки річки Губинихи;заказник;ландшафтний;117;с. Губиніха, Новомосковського району;Новомосковська райдержадміністрація;Рішення Дніпропетровської облради від  03.02.2012 №247-11/VI
35;Мар’яно-Кулебівський;заказник;ландшафтний;1456;с. Мар’янівка, Новомосковського району;Новомосковська райдержадміністрація;Рішення Дніпропетровської облради від  03.02.2012 №247-11/VI
36;"""Мости""";заказник;ландшафтний;2330,9;Верхньоднпровський район;Верхньоднпровська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
37;"""Домотканські валуни""";заказник;ландшафтний;826,7;Верхньоднпровський район;Верхньоднпровська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
38;"""Верхньочаплинський""";заказник;ландшафтний;232,5;Магдалинівський район;Магдалинівська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
39;"""Середньочаплинський""";заказник;ландшафтний;107,6;Магдалинівський район;Магдалинівська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
40;"""Заплавка""";заказник;ландшафтний;448,4;Магдалинівський район;Магдалинівська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
41;"""Верхньокільченський""";заказник;ландшафтний;909,6;Магдалинівський та Новомосковський райони;Магдалинівська та Новомосковська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
42;"""Річка Багатенька""";заказник;ландшафтний;1653,4;Новомосковський райони;Новомосковська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
43;"""Річка Кільченька""";заказник;ландшафтний;499,36;Новомосковський райони;Новомосковська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
44;"""Долина річки Бик""";заказник;ландшафтний;2758,3;;;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
45;"""Балка Свідовок""";заказник;ландшафтний;793,1;;;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
46;"""Сухарева балка""";заказник;ландшафтний;617,4;;;Рішення Дніпропетровської облради від 30.08.2013 №465-20/VI
47;"""Рекалівський""";заказник;ландшафтний;631;;;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
;Разом заказників ландшафтних;47;;37958,4;;;
1;Балка Парна;заказник;лісовий;361;с. Бородаївка Верхньодніпровського району,  Бородаївське лісництво кв.21-23,46,50;Верхньодніпровський держлісгосп;Рішення облвиконкому 17.12.1990  №469 
2;Андріївський ліс;заказник;лісовий;10;с. Андріївка  Покровського району;Васильківський держлісгосп;Рішення облвиконкому 17.12.1990 №469
3;Новопавлівський ліс;заказник;лісовий;650;с. Новопавлівка Межівського району;Васильківський держлісгосп;Рішення облвиконкому 17.12.1990 №469
;Разом заказників лісових;3;;1021;;;
1;Балка Сад;заказник;ботанічний;38,6;с. Воскресенівка Васильківського району;Васильківська райдержадміністрація;Рішення облвиконкому 17.12.1990 №469
2;Урочище Балка Дурна;заказник;ботанічний;136;с. Івашкове Верхньодніпровського району, Верхньодніпровське лісництво, кв.18,19;Верхньодніпровський держлісгосп;Рішення облвиконкому 21.07.1977 №473
3;Урочище Балка Глибока;заказник;ботанічний;150;Верхньодніпровське лісництво кв.10,11;Верхньодніпровський держлісгосп;Рішення облвиконкому 21.07.1977 №473
4;Урочище Балка Яранська;заказник;ботанічний;4,2;с. Миколаївка П’ятихатського району, Мишуринорізьке лісництво кв.28,діл.4;Верхньодніпровський держлісгосп;Рішення облвиконкому 21.07.1977  №473
5;Балка Павлівська;заказник;ботанічний;28;с. Василівка Дніпропетровського району;Навчально-дослідне господарство “Самарський”;Рішення облвиконкому 09.10.1979 №568
