№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
2;“Балка Троянівська”;заказник;Ботанічний;38;Новомиргородський р-н, поблизу с.Троянове;Новомиргородська районна державна адміністрація;Рішенням Кіровоградського облвиконкому №322 від 24.10.1988 р.
3;“Білопіль”;заказник;Ботанічний;53,5;Новгородківський р-н, поблизу с.Білопіль;Новгородківська районна державна адміністрація;Рішенням Кіровоградського облвиконкому №353 від 30.12.1989 р.
4;“Блакитний льон”;заказник;Ботанічний;27;Долинський р-н, поблизу с.Мирне;Долинська  районна державна адміністрація;Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.
5;“Братерські яри”;заказник;Ботанічний;402,6;Олексанрівський р-н,  поблизу с.Вищі Верещаки;ДП “Олександрівський лісгосп”;Рішенням Кіровоградської обласної ради №47 від 19.05.1995 р.
6;“Василівська балка”;заказник;Ботанічний;33,7;Долинський р-н, поблизу с.Василівка;Долинська районна державна адміністрація ;Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.
7;“Верхів’я Кіровської балки”;заказник;Ботанічний;5;Долинський р-н, поблизу с.Кірове;Долинська районна державна адміністрація;Рішенням Кіровоградської обласної ради №158 від 28.03.2003 р.
8;“Верхів’я Ситаєвої балки”;заказник;Ботанічний;90;Долинський р-н, поблизу с.Варварівка;Долинська районна державна адміністрація;Рішенням Кіровоградської обласної ради №158 від 28.03.2003 р.
9;“Волова балка”;заказник;Ботанічний;60,3;Новгородківський р-н, поблизу смт Новгородка;Новгородківська районна державна адміністрація;Рішенням Кіровоградської обласної ради №116 від 28.01.2000 р.
10;“Гусиний острів”;заказник;Ботанічний;8,6;Новомиргородський р-н,  поблизу с. Троянове;Новомиргородська районна державна адміністрація;Рішенням Кіровоградської обласної ради №47 від 19.05.1995 р.
11;“Катеринівська балка”;заказник;Ботанічний;23,3;Долинський р-н, поблизу  с.Катеринівка;Долинська районна державна адміністрація;Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.
12;“Квітуча балка”;заказник;Ботанічний;8;Новгородківський р-н, поблизу смт Новгородка;Новгородківська районна державна адміністрація;Рішенням Кіровоградської обласної ради №309 від 25.12.2001 р.
13;“Клавина балка”;заказник;Ботанічний;30;Долинський р-н, поблизу с.Варварівка;Долинська районна державна адміністрація;Рішенням Кіровоградської обласної ради №158 від 28.03.2003 р.
14;“Мюдівська балка”;заказник;Ботанічний;15;Бобринецький р-н, поблизу с.Мюдівка;Бобринецька районна державна адміністрація;Рішенням Кіровоградської обласної ради №268 від 27.02.2003 р.
15;“Острів”;заказник;Ботанічний;22,5;Новомиргородський р-н, поблизу с.Петроострів;Новомиргородська  районна державна адміністрація;Рішенням Кіровоградської обласної ради №31 від 13.08.1995 р.
16;“Плетений Ташлик”;заказник;Ботанічний;5;Маловисківський р-н, поблизу  с.Плетений Ташлик;Маловисківська районна державна адміністрація;Рішення Кіровоградської обласної ради № 71 від 11.10.96 р.
17;“Роза”;заказник;Ботанічний;28,5;Устинівський р-н,  поблизу с.Жовтене;Устинівська  районна державна адміністрація;Рішенням Кіровоградської обласної ради №132 від 20.02.1998 р.
